sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.OR.A5J1.01A	0.93	0.211	0.00752	2	1.97	1.98	0.0651	0.146	0.00159	0
TCGA.OR.A5J2.01A	0.86	0.79	0.661	4	2.64	2.83	0.0154	0.775	0	0
TCGA.OR.A5J3.01A	0.88	0.746	0.234	2	1.28	1.37	0.00752	0.739	0.175	0
TCGA.OR.A5J4.01A	0.92	0.582	0.131	2	1.99	1.99	0.227	0.355	0.00299	0.0418
TCGA.OR.A5J5.01A	0.93	0.814	0.43	4	2.78	2.87	0.106	0.708	0	0
TCGA.OR.A5J6.01A	0.82	0.9	0.0316	4	3.45	3.55	0.319	0.58	0	0
TCGA.OR.A5J7.01A	0.91	0.722	0.421	6	4.77	4.88	0.0434	0.678	0	0
TCGA.OR.A5J8.01A	0.66	0.82	0.648	4	3.82	3.88	0.208	0.612	0	0
TCGA.OR.A5J9.01A	0.88	0.668	0.0862	2	1.55	1.61	0.0576	0.61	0.0576	0
TCGA.OR.A5JA.01A	0.89	0.714	0.146	2	1.51	1.56	0.0579	0.656	0.104	0
TCGA.OR.A5JB.01A	0.75	0.474	0.119	2	1.78	1.83	0.0765	0.397	0.0268	0.0255
TCGA.OR.A5JC.01A	0.8	0.707	0.146	4	3.38	3.5	0.161	0.546	0	0
TCGA.OR.A5JD.01A	0.84	0.513	0.328	2	1.54	1.61	0.0362	0.476	0.168	0
TCGA.OR.A5JE.01A	0.83	0.519	0.0289	2	1.93	1.94	0.217	0.302	0.015	0
TCGA.OR.A5JF.01A	0.85	0.711	0.0925	4	2.79	2.97	0.053	0.658	0	0
TCGA.OR.A5JG.01A	0.99	0.946	0.0227	3	2.41	2.42	0.27	0.676	0	0
TCGA.OR.A5JH.01A	0.24	0.134	0.395	2	2.34	2.08	0.0967	0.0374	0.00156	0
TCGA.OR.A5JI.01A	0.76	0.465	0.0576	2	1.74	1.8	0.0142	0.45	0.0268	0
TCGA.OR.A5JJ.01A	0.86	0.668	0.536	2	1.39	1.48	0.0402	0.628	0.358	0
TCGA.OR.A5JK.01A	0.69	0.97	0.429	4	3.11	3.38	0.399	0.571	0	0
TCGA.OR.A5JL.01A	0.77	0.96	0.474	4	3.31	3.47	0.372	0.589	0	0
TCGA.OR.A5JM.01A	0.94	0.743	0.0417	4	3.43	3.46	0.089	0.654	0	0
TCGA.OR.A5JO.01A	0.63	0.175	0.0112	2	2	2	0.0276	0.148	0	0.00197
TCGA.OR.A5JP.01A	0.83	0.526	0.207	4	3.71	3.76	0.174	0.352	0	0
TCGA.OR.A5JQ.01A	0.72	0.562	0.09	2	1.45	1.61	0.0428	0.519	0.0506	0
TCGA.OR.A5JR.01A	0.81	0.683	0.223	2	1.42	1.53	0.0976	0.585	0.152	0
