sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.2F.A9KO.01A	0.42	0.6	0.168	2	2.1	2.04	0.35	0.25	0	0.0634
TCGA.2F.A9KP.01A	0.84	0.355	0.131	4	4	4	0.208	0.147	0	0
TCGA.2F.A9KQ.01A	0.96	0.147	0.258	2	1.99	1.99	0.0484	0.0983	0.0151	0
TCGA.2F.A9KR.01A	0.91	0.319	0.155	2	1.74	1.76	0.0353	0.284	0.0476	0
TCGA.2F.A9KT.01A	0.6	0.526	0.446	4	3.62	3.77	0.148	0.379	0	0
TCGA.2F.A9KW.01A	0.71	0.538	0.0561	2	1.83	1.88	0.213	0.325	0.0213	0
TCGA.4Z.AA7M.01A	0.71	0.585	0.207	4	4.09	4.06	0.22	0.365	0	0
TCGA.4Z.AA7N.01A	0.13	0.138	0.696	2	2	2	0.0523	0.0854	0.0523	0.0192
TCGA.4Z.AA7O.01A	0.84	0.324	0.201	2	1.86	1.88	0.112	0.212	0.0635	0
TCGA.4Z.AA7Q.01A	0.22	0.263	0.452	2	2.08	2.02	0.163	0.1	0.0883	0.0034
TCGA.4Z.AA7R.01A	0.96	0.617	0.141	4	3.92	3.92	0.197	0.42	0	0.029
TCGA.4Z.AA7S.01A	0.89	0.454	0.0579	4	4.15	4.13	0.338	0.116	0	0
TCGA.4Z.AA7W.01A	0.22	0.344	0.215	2	1.94	1.99	0.155	0.188	0.033	0
TCGA.4Z.AA7Y.01A	0.92	0.339	0.0734	2	2	2	0.14	0.199	0.0109	0
TCGA.4Z.AA80.01A	0.72	0.581	0.297	4	3.82	3.87	0.207	0.374	0	0
TCGA.4Z.AA81.01A	0.68	0.495	0.432	4	4	4	0.183	0.312	0	0
TCGA.4Z.AA82.01A	0.71	0.597	0.315	4	4.1	4.07	0.336	0.26	0	0
TCGA.4Z.AA83.01A	0.87	0.185	0.141	2	1.96	1.96	0.0863	0.0984	0.0261	0
TCGA.4Z.AA84.01A	0.66	0.568	0.303	4	3.83	3.89	0.185	0.383	0	0
TCGA.4Z.AA86.01A	0.23	0.405	0.314	2	2.24	2.06	0.262	0.143	0.0597	0
TCGA.4Z.AA87.01A	0.76	0.436	0.153	2	2.14	2.11	0.184	0.252	0.00325	0.0179
TCGA.4Z.AA89.01A	0.91	0.132	0.0723	2	1.98	1.98	0.0383	0.0941	0.00957	0
TCGA.5N.A9KI.01A	0.74	0.379	0.0636	2	1.85	1.89	0.0626	0.316	0.0193	0
TCGA.5N.A9KM.01A	0.69	0.508	0.111	2	1.97	1.98	0.255	0.253	0.0195	0.037
TCGA.BL.A0C8.01A	0.77	0.469	0.162	4	3.98	3.98	0.171	0.299	0	0
TCGA.BL.A0C8.01B	0.64	0.397	0.014	2	1.95	1.97	0.139	0.258	0.00557	0
TCGA.BL.A13I.01A	0.34	0.14	0.69	2	2.01	2	0.0474	0.0929	0	0.0632
TCGA.BL.A13J.01A	0.74	0.571	0.224	2	1.96	1.97	0.162	0.408	0.0324	0.0567
TCGA.BL.A13J.01B	0.51	0.379	0.295	2	2.02	2.01	0.164	0.216	0	0.0972
TCGA.BL.A3JM.01A	0.76	0.64	0.0316	2	1.87	1.9	0.175	0.465	0.00184	0.0184
TCGA.BL.A5ZZ.01A	0.41	0.454	0.0394	2	2.08	2.03	0.205	0.249	0	0.00163
TCGA.BT.A0S7.01A	0.55	0.5	0.0459	2	1.93	1.96	0.0951	0.405	0.00328	0.00328
TCGA.BT.A0YX.01A	0.51	0.233	0.215	2	2.03	2.02	0.0851	0.148	0	0.0168
TCGA.BT.A20J.01A	0.51	0.208	0.328	2	2.18	2.09	0.171	0.0365	0	0.0174
TCGA.BT.A20N.01A	0.73	0.776	0.268	4	3.3	3.49	0.156	0.62	0	0
TCGA.BT.A20O.01A	0.66	0.0613	0	2	2	2	0.0248	0.0364	0	0
TCGA.BT.A20P.01A	0.93	0.173	0.0556	2	2.09	2.09	0.129	0.0442	0.00192	0.00769
TCGA.BT.A20Q.01A	0.61	0.138	0.0112	2	1.98	1.99	0.0575	0.0809	0	0
TCGA.BT.A20T.01A	0.71	0.359	0.0163	2	1.86	1.9	0.109	0.25	0.00586	0
TCGA.BT.A20U.01A	0.47	0.168	0.213	2	1.99	2	0.0857	0.0821	0	0.0357
TCGA.BT.A20V.01A	0.77	0.8	0.426	4	3.69	3.76	0.274	0.526	0	0
TCGA.BT.A20W.01A	0.67	0.498	0.0397	2	2.05	2.03	0.209	0.289	0.00198	0.00593
TCGA.BT.A20X.01A	0.47	0.46	0.554	4	3.69	3.85	0.0613	0.398	0	0
