sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.3C.AAAU.01A	0.91	0.653	0.468	6	4.99	5.08	0.0841	0.569	0	0
TCGA.3C.AALI.01A	0.74	0.478	0.131	4	3.58	3.69	0.103	0.375	0	0
TCGA.3C.AALJ.01A	0.7	0.584	0.373	4	3.94	3.96	0.246	0.338	0	0
TCGA.3C.AALK.01A	0.6	0.206	0.256	2	2.04	2.03	0.116	0.0898	0.00528	0
TCGA.4H.AAAK.01A	0.63	0.123	0.219	2	1.98	1.99	0.0389	0.0845	0.00338	0
TCGA.5L.AAT0.01A	0.19	0.0622	0.0789	2	1.92	1.98	0.0131	0.0491	0.00164	0
TCGA.5L.AAT1.01A	0.36	0.172	0.326	2	1.96	1.99	0.0559	0.116	0.024	0
TCGA.5T.A9QA.01A	0.93	0.377	0.152	2	1.92	1.92	0.0605	0.316	0.0251	0
TCGA.A1.A0SB.01A	0.63	0.0218	0	2	2	2	0.00272	0.019	0	0
TCGA.A1.A0SD.01A	0.48	0.508	0.196	2	1.85	1.93	0.191	0.316	0.0234	0.0371
TCGA.A1.A0SE.01A	0.5	0.283	0.513	4	3.98	3.99	0.0894	0.194	0	0
TCGA.A1.A0SF.01A	0.19	0.194	0.385	2	2.15	2.03	0.0463	0.148	0.0209	0.0149
TCGA.A1.A0SG.01A	0.62	0.463	0.0213	2	2.05	2.03	0.215	0.248	0.00591	0
TCGA.A1.A0SH.01A	0.4	0.109	0.569	2	2.02	2.01	0.0451	0.0639	0.0282	0.00564
TCGA.A1.A0SI.01A	0.42	0.516	0.124	2	2.17	2.07	0.358	0.158	0	0.0107
TCGA.A1.A0SJ.01A	0.78	0.682	0.311	4	3.5	3.61	0.115	0.567	0	0
TCGA.A1.A0SK.01A	0.97	0.549	0.172	4	3.89	3.89	0.196	0.354	0	0.0154
TCGA.A1.A0SM.01A	0.56	0.439	0.104	2	2.05	2.03	0.249	0.19	0.0277	0.00198
TCGA.A1.A0SN.01A	0.83	0.325	0.561	4	4.33	4.27	0.198	0.127	0	0
TCGA.A1.A0SO.01A	0.92	0.89	0.315	4	3.62	3.65	0.327	0.563	0	0
TCGA.A1.A0SP.01A	0.58	0.507	0.0391	2	1.81	1.89	0.099	0.408	0.00594	0.00594
TCGA.A2.A04N.01A	0.73	0.419	0.0424	2	2.1	2.08	0.254	0.165	0.0071	0
TCGA.A2.A04P.01A	0.73	0.708	0.48	4	3.42	3.58	0.168	0.54	0	0
TCGA.A2.A04Q.01A	0.16	0.348	0.52	2	2.14	2.02	0.135	0.213	0.0423	0.0926
TCGA.A2.A04R.01A	0.88	0.447	0.122	2	1.9	1.91	0.154	0.293	0.0497	0
TCGA.A2.A04T.01A	0.74	0.751	0.497	4	3.7	3.78	0.215	0.536	0	0
TCGA.A2.A04U.01A	0.81	0.74	0.143	2	1.74	1.79	0.217	0.522	0.0772	0.0018
