sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.2W.A8YY.01A	0.61	0.43	0.0132	2	1.96	1.97	0.147	0.283	0.00566	0
TCGA.4J.AA1J.01A	0.84	0.403	0.121	2	1.9	1.92	0.101	0.301	0.0187	0
TCGA.BI.A0VR.01A	0.23	0.528	0.363	2	2.08	2.02	0.246	0.282	0.0565	0.0746
TCGA.BI.A20A.01A	0.63	0.607	0.122	2	1.89	1.93	0.242	0.365	0.0295	0.0129
TCGA.C5.A0TN.01A	0.93	0.453	0.463	4	3.57	3.6	0.0958	0.357	0	0
TCGA.C5.A1BE.01B	0.57	0.351	0.22	2	1.92	1.95	0.11	0.241	0.0405	0.027
TCGA.C5.A1BF.01B	0.56	0.214	0.0909	2	1.87	1.93	0.057	0.157	0	0
TCGA.C5.A1BI.01B	0.21	0.59	0.186	2	1.99	2	0.314	0.276	0.05	0
TCGA.C5.A1BJ.01A	0.9	0.0942	0.0241	2	2.01	2.01	0.0431	0.0511	0	0
TCGA.C5.A1BK.01B	0.4	0.331	0.292	2	2.09	2.04	0.241	0.0898	0.0203	0.0136
TCGA.C5.A1BL.01A	0.56	0.567	0.138	2	2	2	0.287	0.281	0	0.00401
TCGA.C5.A1BM.01A	0.59	0.507	0.187	2	1.8	1.88	0.0883	0.419	0.0915	0
TCGA.C5.A1BN.01B	0.8	0.445	0.233	2	1.87	1.9	0.127	0.318	0.0726	0.02
TCGA.C5.A1BQ.01C	0.74	0.222	0.114	2	1.93	1.95	0.0476	0.175	0	0.0254
TCGA.C5.A1M5.01A	0.77	0.28	0.042	2	2.02	2.01	0.115	0.164	0	0.00196
TCGA.C5.A1M6.01A	0.82	0.656	0.179	4	3.21	3.35	0.0555	0.601	0	0
TCGA.C5.A1M7.01A	0.22	0.302	0.419	2	2.47	2.1	0.215	0.087	0.0237	0
TCGA.C5.A1M8.01A	0.92	0.84	0.102	4	3.5	3.54	0.397	0.442	0	0
TCGA.C5.A1M9.01A	0.95	0.147	0.0614	2	1.95	1.95	0.0181	0.129	0.00906	0
TCGA.C5.A1ME.01A	0.82	0.479	0.0463	2	1.95	1.96	0.118	0.36	0.00148	0
TCGA.C5.A1MF.01A	0.94	0.381	0.339	4	4.28	4.26	0.179	0.201	0	0.00107
TCGA.C5.A1MH.01A	0.34	0.663	0.233	2	2.16	2.05	0.39	0.273	0.00172	0.0687
TCGA.C5.A1MI.01A	0.78	0.608	0.0731	2	2.03	2.03	0.297	0.311	0	0.0238
TCGA.C5.A1MJ.01A	0.75	0.429	0.338	4	4.21	4.16	0.34	0.0883	0	0
TCGA.C5.A1MK.01A	0.49	0.536	0.0358	2	1.88	1.94	0.0979	0.438	0.00192	0.00768
TCGA.C5.A1MP.01A	0.61	0.587	0.167	2	2.13	2.08	0.215	0.372	0	0.0159
TCGA.C5.A2LS.01A	0.69	0.398	0.0849	2	2.06	2.04	0.209	0.189	0	0
TCGA.C5.A2LT.01A	0.6	0.557	0.548	4	3.83	3.9	0.147	0.41	0	0
TCGA.C5.A2LV.01A	0.74	0.807	0.0354	2	2.1	2.07	0.5	0.307	0.0143	0.00893
TCGA.C5.A2LX.01A	0.68	0.497	0.144	2	1.94	1.96	0.234	0.263	0.00974	0.0341
TCGA.C5.A2LY.01A	0.6	0.308	0.0599	2	2.08	2.05	0.0921	0.215	0.00184	0
TCGA.C5.A2LZ.01A	0.74	0.505	0.31	4	4.2	4.15	0.29	0.215	0	0
