sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.3Z.A93Z.01A	0.4	0.242	0.437	2	2.05	2.02	0.123	0.118	0.0358	0
TCGA.6D.AA2E.01A	0.78	0.0224	0	2	2	2	0.0048	0.0176	0	0
TCGA.A3.3306.01A	0.7	0.273	0.252	2	1.76	1.83	0.0163	0.257	0.0687	0
TCGA.A3.3307.01A	0.57	0.324	0	2	1.97	1.98	0.0942	0.23	0	0
TCGA.A3.3308.01A	0.24	0.0879	0.482	2	2.11	2.03	0.0502	0.0377	0.00314	0
TCGA.A3.3311.01A	0.52	0.288	0.174	2	1.9	1.95	0.0927	0.195	0.0502	0
TCGA.A3.3313.01A	0.66	0.35	0.0201	2	1.93	1.95	0.104	0.246	0	0.00351
TCGA.A3.3316.01A	0.39	0.279	0.359	4	3.77	3.91	0.0394	0.239	0	0
TCGA.A3.3317.01A	0.48	0.314	0.206	2	1.84	1.92	0.0884	0.226	0.0432	0.00589
TCGA.A3.3319.01A	0.45	0.299	0.438	2	2.27	2.12	0.248	0.0513	0	0.0301
TCGA.A3.3320.01A	0.75	0.303	0.0364	2	1.92	1.94	0.0991	0.204	0.011	0
TCGA.A3.3322.01A	0.65	0.349	0.0863	2	1.91	1.94	0.0372	0.312	0.0301	0
TCGA.A3.3323.01A	0.65	0.237	0	2	1.96	1.97	0.0967	0.141	0	0
TCGA.A3.3324.01A	0.56	0.235	0.0551	2	1.9	1.94	0.0407	0.194	0.013	0
TCGA.A3.3325.01A	0.5	0.473	0.668	4	3.58	3.79	0.0768	0.397	0	0
TCGA.A3.3326.01A	0.76	0.0387	0	2	1.98	1.99	0.00138	0.0373	0	0
TCGA.A3.3331.01A	0.11	0.326	0.643	2	1.48	1.94	0.0573	0.268	0.103	0.0426
TCGA.A3.3335.01A	0.21	0.133	0.0244	2	1.64	1.93	0.00649	0.127	0	0
TCGA.A3.3336.01A	0.53	0.211	0.122	2	1.98	1.99	0.0839	0.127	0	0
TCGA.A3.3343.01A	0.69	0.424	0.00901	2	2	2	0.184	0.241	0.00382	0
TCGA.A3.3346.01A	0.44	0.47	0.0644	2	1.52	1.79	0.0141	0.456	0	0.0302
TCGA.A3.3347.01A	0.44	0.43	0.223	2	1.8	1.91	0.121	0.309	0.0586	0
TCGA.A3.3349.01A	0.39	0.0111	0	2	2	2	0.00555	0.00555	0	0
TCGA.A3.3351.01A	0.49	0.176	0.086	2	1.95	1.98	0.0588	0.118	0.00759	0
TCGA.A3.3352.01A	0.62	0.298	0.378	4	3.91	3.94	0.132	0.166	0	0
TCGA.A3.3357.01A	0.56	0.174	0	2	1.93	1.96	0.041	0.133	0	0
TCGA.A3.3358.01A	0.48	0.166	0.0568	2	2	2	0.0698	0.0962	0.00943	0
TCGA.A3.3359.01A	0.53	0.449	0.0276	2	1.93	1.96	0.0989	0.35	0.0124	0
TCGA.A3.3362.01A	0.43	0.295	0.0952	2	2	2	0.164	0.13	0.018	0
TCGA.A3.3363.01A	0.78	0.478	0.0352	2	2	2	0.121	0.356	0	0.00933
TCGA.A3.3365.01A	0.34	0.28	0.0282	2	1.96	1.99	0.189	0.0906	0.00591	0
TCGA.A3.3367.01A	0.81	0.204	0.123	4	3.88	3.9	0.0795	0.124	0	0
TCGA.A3.3370.01A	0.24	0.25	0.142	2	2.02	2.01	0.142	0.108	0.0168	0
TCGA.A3.3372.01A	0.65	0.263	0.0812	2	1.82	1.88	0.0296	0.233	0.0213	0
TCGA.A3.3374.01A	0.77	0.446	0.159	2	1.65	1.73	0.0437	0.403	0.0709	0
TCGA.A3.3376.01A	0.27	0.303	0.102	2	2.03	2.01	0.193	0.11	0.00862	0
TCGA.A3.3378.01A	0.23	0.0397	0.217	2	1.95	1.99	0.00345	0.0363	0.00864	0
TCGA.A3.3380.01A	0.59	0.441	0.613	4	3.75	3.85	0.119	0.322	0	0
TCGA.A3.3382.01A	0.78	0.655	0.213	4	3.23	3.4	0.0838	0.571	0	0
TCGA.A3.3383.01A	0.61	0.0335	0.0526	2	1.96	1.98	0	0.0335	0.00176	0
