sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.2K.A9WE.01A	0.1	0.542	0.843	2	2.19	2.02	0.222	0.319	0.261	0.089
TCGA.2Z.A9J1.01A	0.81	0.294	0.72	4	4.31	4.25	0.196	0.0987	0	0
TCGA.2Z.A9J2.01A	0.52	0.476	0.199	2	2.19	2.1	0.265	0.211	0	0.00327
TCGA.2Z.A9J3.01A	0.94	0.253	0.165	2	2.3	2.28	0.215	0.038	0.0019	0
TCGA.2Z.A9J5.01A	0.62	0.4	0.0237	2	2.25	2.15	0.288	0.112	0	0.0038
TCGA.2Z.A9J6.01A	0.65	0.261	0.759	2	2.27	2.18	0.233	0.0277	0	0
TCGA.2Z.A9J7.01A	0.9	0.316	0.0519	2	2.14	2.12	0.18	0.136	0	0
TCGA.2Z.A9J8.01A	0.88	0.14	0.541	2	1.88	1.89	0.0226	0.117	0.0755	0
TCGA.2Z.A9J9.01A	0.99	0.0718	0	2	2	2	0.041	0.0308	0	0
TCGA.2Z.A9JE.01A	0.93	0.233	0.527	2	2.12	2.11	0.125	0.108	0	0.0669
TCGA.2Z.A9JI.01A	0.51	0.173	0.218	4	3.9	3.95	0.0167	0.156	0	0
TCGA.2Z.A9JK.01A	0.99	0.0522	0	2	1.97	1.98	0	0.0522	0	0
TCGA.2Z.A9JL.01A	0.51	0.218	0.0806	2	2.11	2.06	0.137	0.0807	0	0
TCGA.2Z.A9JN.01A	0.12	0.122	0.681	2	1.99	2	0.0638	0.0585	0.0496	0.0213
TCGA.2Z.A9JO.01A	0.11	0.187	0.843	2	2.03	2	0.123	0.0642	0.117	0.0183
TCGA.2Z.A9JP.01A	0.88	0.289	0.659	4	4.21	4.19	0.177	0.111	0	0
TCGA.2Z.A9JR.01A	0.36	0.137	0.593	2	2.3	2.11	0.127	0.00955	0	0
TCGA.2Z.A9JS.01A	0.85	0.333	0.646	4	4.25	4.21	0.185	0.148	0	0
TCGA.2Z.A9JT.01A	0.64	0.113	0.0615	2	2.01	2	0.033	0.08	0.00696	0
TCGA.4A.A93W.01A	0.84	0.203	0.0099	2	2.11	2.09	0.149	0.0542	0	0
TCGA.4A.A93X.01A	0.96	0.707	0.192	4	3.04	3.08	0.00388	0.703	0	0.00194
