sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.05.4249.01A	0.6	0.484	0.368	4	4.02	4.01	0.195	0.289	0	0
TCGA.05.4250.01A	0.57	0.701	0.429	4	3.81	3.89	0.2	0.501	0	0
TCGA.05.4382.01A	0.19	0.229	0.472	2	2.03	2.01	0.0991	0.13	0.0432	0.036
TCGA.05.4384.01A	0.16	0.0973	0.517	2	2.02	2	0.0403	0.057	0.0268	0.0134
TCGA.05.4389.01A	0.62	0.494	0.516	4	3.39	3.62	0.046	0.448	0	0
TCGA.05.4390.01A	0.73	0.506	0.202	2	2.13	2.09	0.203	0.304	0	0.0208
TCGA.05.4395.01A	0.77	0.868	0.235	4	3.14	3.34	0.126	0.743	0	0
TCGA.05.4396.01A	0.71	0.668	0.078	2	1.81	1.86	0.264	0.403	0.0386	0
TCGA.05.4397.01A	0.89	0.279	0.343	2	1.97	1.97	0.0959	0.183	0.0612	0.00165
TCGA.05.4398.01A	0.53	0.798	0.391	4	4.18	4.09	0.419	0.379	0	0
TCGA.05.4402.01A	0.54	0.394	0.0688	2	1.96	1.98	0.132	0.262	0.00361	0.00181
TCGA.05.4403.01A	0.45	0.18	0.132	2	2.04	2.02	0.0692	0.111	0	0.0237
TCGA.05.4405.01A	0.23	0.449	0.344	2	2.34	2.08	0.257	0.192	0.0585	0
TCGA.05.4410.01A	0.39	0.637	0.352	4	3.87	3.95	0.21	0.426	0.00196	0
TCGA.05.4415.01A	0.8	0.536	0.192	4	4.11	4.08	0.288	0.249	0	0
TCGA.05.4417.01A	0.17	0.524	0.369	2	2.38	2.06	0.324	0.2	0.0668	0.0205
TCGA.05.4418.01A	0.49	0.544	0.104	2	1.91	1.95	0.17	0.374	0.0312	0.0195
TCGA.05.4420.01A	0.74	0.642	0.324	4	3.58	3.69	0.163	0.479	0	0
TCGA.05.4422.01A	0.59	0.27	0.245	2	2.04	2.02	0.109	0.161	0.0194	0
TCGA.05.4424.01A	0.21	0.283	0.277	2	1.94	1.99	0.0896	0.193	0.0392	0.0042
TCGA.05.4425.01A	0.16	0.373	0.229	2	1.38	1.9	0.0742	0.299	0.0395	0.00632
TCGA.05.4426.01A	0.67	0.297	0.0937	2	1.96	1.98	0.102	0.195	0.00186	0.0204
TCGA.05.4427.01A	0.69	0.658	0.204	4	3.78	3.85	0.244	0.415	0	0
TCGA.05.4430.01A	0.3	0.525	0.632	4	3.87	3.96	0.13	0.395	0.0428	0.00815
TCGA.05.4432.01A	0.23	0.329	0.278	2	1.83	1.96	0.0668	0.262	0.0633	0.00176
TCGA.05.4433.01A	0.53	0.562	0.0342	2	1.9	1.94	0.225	0.337	0.0173	0
TCGA.05.4434.01A	0.29	0.357	0.156	2	2.01	2	0.146	0.212	0.00599	0.00399
TCGA.05.5420.01A	0.2	0.406	0.197	2	1.83	1.97	0.084	0.322	0.042	0.012
TCGA.05.5423.01A	0.61	0.84	0.108	2	2	2	0.285	0.554	0.0594	0.00396
TCGA.05.5428.01A	0.88	0.475	0.405	4	3.88	3.89	0.145	0.33	0	0.00105
TCGA.05.5429.01A	0.66	0.299	0.042	2	1.88	1.92	0.046	0.253	0.0126	0
TCGA.05.5715.01A	0.73	0.393	0.209	2	1.78	1.84	0.0844	0.309	0.07	0
TCGA.35.3615.01A	0.64	0.276	0.24	2	2.07	2.05	0.177	0.0994	0	0.00368
TCGA.35.4122.01A	0.24	0.442	0.482	2	2	2	0.178	0.264	0.071	0.0454
TCGA.35.4123.01A	0.2	0.308	0.23	2	1.92	1.98	0.0957	0.212	0.0416	0.00139
TCGA.35.5375.01A	0.69	0.64	0.337	4	3.38	3.57	0.127	0.513	0	0
TCGA.38.4625.01A	0.42	0.637	0.222	2	2.08	2.04	0.402	0.235	0.00196	0.114
TCGA.38.4626.01A	0.99	0.0658	0	2	2	2	0.0232	0.0426	0	0
TCGA.38.4627.01A	0.98	0.0321	0.667	2	2	2	0.00402	0.0281	0	0.0214
TCGA.38.4628.01A	0.8	0.546	0.327	4	3.55	3.64	0.0789	0.467	0	0
TCGA.38.4629.01A	0.46	0.682	0.11	2	1.58	1.81	0.081	0.601	0.0514	0.00198
TCGA.38.4630.01A	0.78	0.445	0.0804	2	1.93	1.94	0.193	0.252	0.0239	0.00994
TCGA.38.4631.01A	0.6	0.744	0.332	4	3.99	3.99	0.324	0.419	0	0
TCGA.38.4632.01A	0.76	0.36	0.128	2	2.01	2.01	0.109	0.252	0	0.00375
TCGA.38.6178.01A	0.52	0.171	0.253	2	2.05	2.02	0.083	0.0882	0	0.0104
TCGA.38.7271.01A	0.66	0.024	0	2	2.01	2	0.00846	0.0155	0	0
TCGA.38.A44F.01A	0.87	0.294	0	2	2	2	0.127	0.167	0	0
TCGA.44.2655.01A	0.26	0.0475	0.25	2	1.99	2	0.00678	0.0407	0.00678	0
TCGA.44.2656.01A	0.57	0.178	0.263	2	2.09	2.05	0.12	0.0574	0	0
TCGA.44.2656.01B	0.13	0.226	0.254	2	1.96	1.99	0.0868	0.139	0.0267	0.00534
TCGA.44.2657.01A	0.16	0.4	0.402	2	1.95	1.99	0.169	0.231	0.0844	0.0207
TCGA.44.2659.01A	0.53	0.752	0.484	4	4.27	4.14	0.364	0.388	0	0
TCGA.44.2661.01A	0.22	0.316	0.16	2	1.91	1.98	0.0957	0.221	0.0254	0.0117
TCGA.44.2662.01A	0.97	0.135	0.0521	2	2.01	2.01	0.0367	0.0987	0	0.00282
TCGA.44.2662.01B	0.16	0.195	0.129	2	1.95	1.99	0.0745	0.121	0.00985	0.00281
TCGA.44.2665.01A	0.42	0.292	0.307	2	2.14	2.06	0.168	0.125	0.0175	0
TCGA.44.2665.01B	0.13	0.302	0.426	2	1.97	2	0.129	0.173	0.0741	0.0136
TCGA.44.2666.01A	0.57	0.295	0.0176	2	1.92	1.96	0.104	0.191	0.0052	0
TCGA.44.2666.01B	0.16	0.288	0.139	2	1.93	1.99	0.13	0.158	0.0208	0
TCGA.44.2668.01A	0.24	0.251	0.132	2	1.97	1.99	0.0849	0.166	0.024	0
TCGA.44.2668.01B	0.14	0.269	0.26	2	2	2	0.122	0.148	0.0387	0
TCGA.44.3396.01A	0.21	0.0986	0.382	2	1.96	1.99	0.0161	0.0824	0.0305	0
TCGA.44.3398.01A	0.09	0.388	0.913	2	2.06	2.01	0.186	0.202	0.295	0.0153
TCGA.44.3917.01A	0.46	0.723	0.107	2	1.94	1.97	0.229	0.494	0	0.0114
TCGA.44.3917.01B	0.22	0.364	0.208	2	2.3	2.07	0.218	0.146	0.0208	0
