sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.04.1331.01A	0.88	0.667	0.283	4	3.64	3.69	0.224	0.443	0	0
TCGA.04.1332.01A	0.56	0.614	0.0677	2	1.92	1.96	0.251	0.363	0.00567	0.00756
TCGA.04.1335.01A	0.77	0.532	0.163	2	1.76	1.81	0.113	0.419	0.083	0.00189
TCGA.04.1336.01A	0.94	0.527	0.303	4	3.56	3.58	0.133	0.394	0	0.00192
TCGA.04.1337.01A	0.62	0.728	0.579	4	3.52	3.7	0.104	0.624	0	0
TCGA.04.1338.01A	0.79	0.726	0.247	4	3.67	3.74	0.201	0.525	0	0
TCGA.04.1341.01A	0.78	0.785	0.185	2	2.16	2.12	0.433	0.352	0.0192	0.0977
TCGA.04.1342.01A	0.79	0.604	0.103	2	1.93	1.95	0.24	0.363	0.0422	0.0183
TCGA.04.1343.01A	0.77	0.812	0.401	4	3.16	3.35	0.0973	0.714	0	0
TCGA.04.1346.01A	0.71	0.505	0.503	4	3.65	3.75	0.0923	0.413	0	0
TCGA.04.1347.01A	0.94	0.632	0.372	4	3.65	3.67	0.205	0.427	0	0
TCGA.04.1348.01A	0.77	0.407	0.284	2	1.87	1.9	0.125	0.282	0.0792	0.0135
TCGA.04.1349.01A	0.88	0.609	0.346	4	3.45	3.52	0.087	0.522	0	0
TCGA.04.1350.01A	0.91	0.967	0.0302	2	2.52	2.48	0.654	0.312	0	0.0271
TCGA.04.1351.01A	0.89	0.761	0.15	4	4.13	4.11	0.245	0.516	0	0
TCGA.04.1353.01A	0.87	0.542	0.226	2	1.96	1.96	0.241	0.301	0.102	0.00402
TCGA.04.1356.01A	0.85	0.738	0.384	4	3.42	3.51	0.173	0.565	0	0
TCGA.04.1357.01A	0.65	0.764	0.327	4	3.62	3.75	0.181	0.583	0	0
TCGA.04.1360.01A	0.82	0.911	0.379	2	2.9	2.74	0.649	0.261	0	0.184
TCGA.04.1361.01A	0.68	0.536	0.327	2	1.86	1.9	0.146	0.389	0.0732	0.0482
TCGA.04.1362.01A	0.94	0.869	0.252	4	3.2	3.24	0.151	0.718	0	0
TCGA.04.1364.01A	0.99	0.86	0.206	4	5.23	5.22	0.7	0.16	0	0
TCGA.04.1365.01A	0.82	0.424	0.308	2	1.84	1.87	0.122	0.301	0.0692	0.0183
TCGA.04.1367.01A	0.91	0.411	0.231	2	1.79	1.8	0.101	0.31	0.0853	0.00194
TCGA.04.1369.01A	0.8	0.799	0.242	4	3.92	3.94	0.354	0.445	0	0
TCGA.04.1514.01A	0.92	0.515	0.00487	2	1.73	1.75	0.0276	0.487	0	0.00251
TCGA.04.1516.01A	0.68	0.844	0.29	2	2.09	2.06	0.387	0.457	0.13	0.0587
