sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.2A.A8VL.01A	0.99	0.339	0	2	1.99	1.99	0.179	0.16	0	0
TCGA.2A.A8VO.01A	0.53	0.254	0.0526	2	1.99	1.99	0.132	0.122	0.0134	0
TCGA.2A.A8VT.01A	0.76	0.179	0.0565	2	1.89	1.91	0.00868	0.171	0.0101	0
TCGA.2A.A8VV.01A	0.99	0.0219	0	2	2	2	0.00346	0.0185	0	0
TCGA.2A.A8VX.01A	0.94	0.246	0.0534	2	1.99	1.99	0.107	0.139	0.0132	0
TCGA.2A.A8W1.01A	0.92	0.0996	0.0714	2	1.99	1.99	0.032	0.0676	0.00712	0
TCGA.2A.A8W3.01A	0.2	0.457	0.282	2	2	2	0.303	0.153	0.0423	0.00705
TCGA.2A.AAYF.01A	0.88	0.0293	0.158	2	1.97	1.98	0	0.0293	0.00463	0
TCGA.2A.AAYO.01A	0.73	0.165	0.01	2	1.97	1.98	0.0644	0.101	0.00165	0
TCGA.2A.AAYU.01A	0.84	0.112	0.127	2	1.96	1.97	0.0214	0.0911	0.0143	0
TCGA.4L.AA1F.01A	0.36	0.328	0.4	4	3.76	3.91	0.0694	0.258	0	0
TCGA.CH.5767.01A	0.84	0.0996	0.327	2	1.97	1.97	0.0386	0.061	0.0244	0
TCGA.EJ.7115.01A	0.51	0.154	0	2	1.94	1.97	0.0424	0.112	0	0
TCGA.EJ.7123.01A	0.29	0.278	0.213	2	1.98	1.99	0.174	0.105	0.0355	0
TCGA.EJ.7125.01A	0.63	0.0116	0	2	2	2	0.00662	0.00497	0	0
TCGA.EJ.7218.01B	0.29	0.206	0.00935	2	1.95	1.99	0.106	0.1	0.00192	0
TCGA.EJ.7312.01B	0.78	0.141	0.172	2	1.88	1.91	0.00908	0.132	0.0242	0
TCGA.EJ.7314.01A	0.61	0.273	0.00606	2	1.97	1.98	0.096	0.177	0.00166	0
TCGA.EJ.7315.01A	0.6	0.225	0.015	2	1.92	1.95	0.0778	0.147	0.00338	0
TCGA.EJ.7317.01A	0.67	0.187	0.00962	2	1.98	1.99	0.0865	0.101	0.0018	0
TCGA.EJ.7318.01B	0.19	0.0229	0	2	1.98	2	0.00528	0.0176	0	0
TCGA.EJ.7321.01A	0.2	0.251	0.209	2	1.92	1.98	0.122	0.129	0.0288	0.00847
TCGA.EJ.7325.01B	0.85	0.0723	0.317	2	1.94	1.95	0.0106	0.0617	0.0229	0
TCGA.EJ.7327.01A	0.49	0.0305	0.125	2	1.99	1.99	0.0019	0.0286	0.00381	0
TCGA.EJ.7328.01A	0.22	0.16	0.141	2	2	2	0.0972	0.0625	0.0156	0
TCGA.EJ.7330.01A	0.24	0.251	0.252	2	2.04	2.01	0.156	0.095	0.0149	0.00372
TCGA.EJ.7331.01A	0.17	0.237	0.364	2	1.99	2	0.139	0.0972	0.0275	0.00734
TCGA.EJ.7781.01A	0.61	0.337	0.0104	2	1.98	1.99	0.173	0.164	0.00349	0
TCGA.EJ.7782.01A	0.73	0.203	0.0305	2	1.93	1.95	0.0713	0.132	0.0062	0
TCGA.EJ.7783.01A	0.19	0.332	0.304	2	1.92	1.98	0.146	0.186	0.0521	0.00868
TCGA.EJ.7784.01A	0.84	0.2	0.168	2	2.04	2.03	0.0923	0.107	0.00503	0
TCGA.EJ.7785.01A	0.22	0.255	0.105	2	1.98	2	0.144	0.111	0.0134	0
TCGA.EJ.7786.01A	0.24	0.064	0.222	2	1.89	1.97	0.00569	0.0583	0.00996	0
TCGA.EJ.7788.01A	0.72	0.145	0.092	2	1.96	1.97	0.03	0.115	0.0133	0
TCGA.EJ.7789.01A	0.95	0.507	0.0522	2	2.2	2.19	0.34	0.166	0.0113	0.00189
TCGA.EJ.7791.01A	0.14	0.0454	0.655	2	1.99	2	0.0203	0.025	0.0141	0.00782
TCGA.EJ.7792.01A	0.35	0.116	0.133	2	2.02	2.01	0.0638	0.0522	0.00387	0
TCGA.EJ.7793.01A	0.17	0.0236	0.308	2	2	2	0.00181	0.0218	0	0.00363
TCGA.EJ.7794.01A	0.72	0.103	0	2	2	2	0.069	0.0345	0	0
TCGA.EJ.7797.01A	0.16	0.0874	0.5	2	1.99	2	0.0419	0.0455	0.0219	0.0128
TCGA.EJ.8468.01A	0.2	0.0652	0.0714	2	1.89	1.98	0.00932	0.0559	0.00155	0
TCGA.EJ.8469.01A	0.81	0.234	0.242	2	2	2	0.0833	0.151	0.0252	0
TCGA.EJ.8470.01A	0.22	0.169	0.161	2	1.95	1.99	0.0961	0.0732	0.0172	0
TCGA.EJ.8472.01A	0.75	0.482	0.184	4	3.97	3.98	0.33	0.153	0	0
TCGA.EJ.8474.01A	0.2	0.0397	0.348	2	1.97	1.99	0.00345	0.0363	0.0121	0.00173
