sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.3N.A9WB.06A	0.99	0.288	0.452	4	4.47	4.47	0.208	0.0797	0	0.0093
TCGA.3N.A9WC.06A	0.61	0.313	0.131	2	1.89	1.93	0.0524	0.26	0	0.00818
TCGA.3N.A9WD.06A	0.4	0.342	0.176	2	2.04	2.02	0.233	0.109	0	0.031
TCGA.BF.A1PU.01A	0.87	0.349	0.271	2	1.72	1.76	0.0279	0.322	0.0855	0
TCGA.BF.A1PV.01A	0.95	0.183	0.163	2	2.11	2.11	0.118	0.0653	0.00176	0.0123
TCGA.BF.A1PX.01A	0.21	0.163	0.271	2	1.86	1.97	0.0172	0.146	0.0402	0
TCGA.BF.A1PZ.01A	0.85	0.65	0.26	2	2.03	2.02	0.212	0.438	0	0.14
TCGA.BF.A1Q0.01A	0.68	0.781	0.32	4	3.91	3.94	0.369	0.412	0	0
TCGA.BF.A3DJ.01A	0.77	0.466	0.0617	2	1.8	1.85	0.117	0.349	0.0249	0.00192
TCGA.BF.A3DL.01A	0.7	0.36	0.195	2	2.01	2	0.154	0.206	0	0
TCGA.BF.A3DM.01A	0.94	0.244	0.262	2	1.86	1.87	0.0286	0.215	0.064	0
TCGA.BF.A3DN.01A	0.8	0.533	0.298	4	3.79	3.84	0.172	0.361	0	0
TCGA.BF.A5EO.01A	0.62	0.562	0.00621	2	1.84	1.9	0.0977	0.464	0	0.00349
TCGA.BF.A5EP.01A	0.81	0.615	0.107	2	1.65	1.71	0.158	0.456	0.0564	0
TCGA.BF.A5EQ.01A	0.64	0.449	0.243	4	4.2	4.13	0.27	0.18	0	0
TCGA.BF.A5ER.01A	0.75	0.591	0.0725	2	2.07	2.05	0.312	0.279	0.00171	0.0137
TCGA.BF.A5ES.01A	0.56	0.415	0.109	2	2.08	2.05	0.263	0.152	0	0
TCGA.BF.A9VF.01A	0.98	0.545	0.519	4	3.86	3.86	0.185	0.36	0	0.113
TCGA.BF.AAOU.01A	0.55	0.482	0.29	2	1.83	1.91	0.128	0.354	0.0445	0.0931
TCGA.BF.AAOX.01A	0.69	0.306	0.118	2	1.94	1.96	0.0797	0.226	0.0217	0.0109
TCGA.BF.AAP0.06A	0.22	0.268	0.784	2	1.96	1.99	0.072	0.196	0.168	0
TCGA.BF.AAP1.01A	0.95	0.477	0.124	4	3.74	3.75	0.122	0.355	0	0
TCGA.BF.AAP2.01A	0.95	0.345	0.118	4	3.79	3.8	0.103	0.242	0	0
TCGA.BF.AAP4.01A	0.52	0.566	0.557	4	3.77	3.88	0.131	0.434	0	0
TCGA.BF.AAP6.01A	0.87	0.475	0.207	2	2.04	2.03	0.259	0.216	0.0982	0
TCGA.BF.AAP7.01A	0.24	0.087	0.212	2	1.87	1.97	0.00334	0.0836	0.0151	0
TCGA.BF.AAP8.01A	0.84	0.272	0.0903	2	2.08	2.07	0.137	0.135	0.0246	0
TCGA.D3.A1Q1.06A	0.95	0.686	0.342	4	3.71	3.73	0.236	0.45	0	0.0156
TCGA.D3.A1Q3.06A	0.67	0.235	0.0758	2	2.03	2.02	0.0463	0.189	0.00356	0.00356
TCGA.D3.A1Q4.06A	0.52	0.385	0.756	4	3.58	3.78	0.0658	0.32	0	0
TCGA.D3.A1Q5.06A	0.96	0.875	0.21	4	2.9	2.95	0.0485	0.826	0	0.00202
TCGA.D3.A1Q6.06A	0.63	0.198	0.4	4	3.88	3.92	0.0377	0.16	0	0
TCGA.D3.A1Q7.06A	0.33	0.108	0.293	2	2.06	2.02	0.0686	0.039	0	0
TCGA.D3.A1Q8.06A	0.53	0.307	0.83	4	3.43	3.7	0.013	0.294	0	0
TCGA.D3.A1Q9.06A	0.84	0.368	0.109	2	1.8	1.84	0.0262	0.342	0.0247	0
TCGA.D3.A1QA.06A	0.82	0.434	0.0179	2	2.06	2.05	0.235	0.198	0	0
TCGA.D3.A1QB.06A	0.42	0.407	0.16	2	2.25	2.1	0.287	0.12	0	0
TCGA.D3.A2J6.06A	0.74	0.393	0.134	2	1.79	1.84	0.0682	0.325	0.0071	0.017
TCGA.D3.A2J7.06A	0.22	0.236	0.169	2	1.92	1.98	0.1	0.136	0.0239	0
TCGA.D3.A2J8.06A	0.2	0.0394	0.455	2	2	2	0.00894	0.0304	0.00716	0.00716
TCGA.D3.A2J9.06A	0.15	0.0455	0.407	2	2.04	2.01	0.0152	0.0303	0.00505	0.00337
TCGA.D3.A2JA.06A	0.53	0.388	0.332	2	2.13	2.07	0.178	0.21	0	0.0347
TCGA.D3.A2JB.06A	0.11	0.487	0.759	2	2.01	2	0.227	0.26	0.305	0.0101
TCGA.D3.A2JC.06A	0.59	0.63	0.659	4	3.4	3.65	0.0916	0.538	0	0
TCGA.D3.A2JD.06A	0.44	0.348	0.23	2	2.15	2.07	0.263	0.0846	0	0.00308
TCGA.D3.A2JE.06A	0.88	0.439	0.132	2	2.12	2.1	0.174	0.265	0.00544	0
TCGA.D3.A2JF.06A	0.74	0.417	0.364	4	3.69	3.77	0.0417	0.376	0	0
TCGA.D3.A2JG.06A	0.75	0.531	0.0515	2	1.9	1.92	0.178	0.354	0.0137	0.00977
TCGA.D3.A2JH.06A	0.6	0.57	0.00643	2	2.02	2.01	0.31	0.26	0	0
TCGA.D3.A2JK.06A	0.62	0.159	0.188	2	1.88	1.93	0.0356	0.124	0.03	0
TCGA.D3.A2JL.06A	0.59	0.611	0.433	4	3.4	3.65	0.136	0.475	0	0
TCGA.D3.A2JN.06A	0.42	0.21	0.214	2	2.05	2.02	0.061	0.149	0	0.0162
TCGA.D3.A2JO.06A	0.49	0.502	0.625	4	3.66	3.83	0.12	0.382	0	0
TCGA.D3.A2JP.06A	0.72	0.418	0.381	4	3.76	3.83	0.0822	0.336	0	0
TCGA.D3.A3BZ.06A	0.79	0.438	0.00741	2	2	2	0.136	0.302	0	0.00162
TCGA.D3.A3C1.06A	0.65	0.478	0.337	4	3.65	3.77	0.142	0.336	0	0
TCGA.D3.A3C3.06A	0.7	0.493	0.0547	2	1.95	1.97	0.0824	0.41	0.00158	0.0222
TCGA.D3.A3C6.06A	0.91	0.482	0.406	2	1.6	1.64	0.0263	0.455	0.196	0
TCGA.D3.A3C7.06A	0.79	0.421	0.107	2	1.83	1.86	0.129	0.291	0.036	0.00719
TCGA.D3.A3C8.06A	0.52	0.144	0	2	2	2	0.0551	0.089	0	0
TCGA.D3.A3CB.06A	0.68	0.195	0	2	2	2	0.0611	0.134	0	0
TCGA.D3.A3CC.06A	0.73	0.483	0.25	4	3.66	3.75	0.142	0.342	0	0
TCGA.D3.A3CE.06A	0.74	0.475	0.0638	2	1.84	1.88	0.096	0.379	0.0152	0.00337
TCGA.D3.A3CF.06A	0.28	0.297	0.238	2	2.16	2.05	0.183	0.114	0.0177	0
TCGA.D3.A3ML.06A	0.98	0.325	0.685	4	4.39	4.38	0.264	0.0608	0	0.0193
TCGA.D3.A3MO.06A	0.93	0.295	0.679	4	4.05	4.05	0.163	0.132	0	0
TCGA.D3.A3MR.06A	0.16	0.0911	0.556	2	1.96	1.99	0.00675	0.0843	0.0253	0.0236
TCGA.D3.A3MU.06A	0.77	0.563	0.189	2	2.27	2.21	0.304	0.26	0.00169	0.0219
TCGA.D3.A3MV.06A	0.73	0.881	0.205	2	2.12	2.09	0.401	0.481	0	0.123
TCGA.D3.A51E.06A	0.79	0.381	0.0616	2	2.04	2.03	0.195	0.186	0.00542	0
TCGA.D3.A51F.06A	0.13	0.116	0.738	2	1.97	2	0.0319	0.0841	0.0449	0.0203
TCGA.D3.A51G.06A	0.86	0.55	0.256	4	4.2	4.17	0.236	0.314	0	0
TCGA.D3.A51H.06A	0.1	0.202	0.936	2	2	2	0.0938	0.108	0.119	0.0386
TCGA.D3.A51J.06A	0.53	0.359	0.196	2	1.87	1.93	0.0581	0.301	0.0335	0.0176
TCGA.D3.A51K.06A	0.82	0.571	0.119	2	2.19	2.16	0.317	0.254	0.00332	0.00332
TCGA.D3.A51N.06A	0.71	0.492	0.553	4	3.71	3.79	0.124	0.368	0	0
TCGA.D3.A51R.06A	0.93	0.315	0.298	2	2.13	2.12	0.174	0.141	0	0.047
TCGA.D3.A51T.06A	0.86	0.359	0.3	2	1.84	1.87	0.106	0.253	0.0777	0
TCGA.D3.A5GL.06A	0.71	0.633	0.154	2	1.82	1.87	0.158	0.475	0.0195	0.0762
TCGA.D3.A5GN.06A	0.67	0.626	0.379	4	4.35	4.24	0.325	0.301	0	0
TCGA.D3.A5GO.06A	0.88	0.334	0.22	4	3.67	3.71	0.075	0.259	0	0
TCGA.D3.A5GR.06A	0.32	0.584	0.234	2	2.33	2.11	0.426	0.158	0.00385	0.0308
TCGA.D3.A5GS.06A	0.73	0.632	0.0864	2	2.04	2.03	0.3	0.331	0.039	0.00585
TCGA.D3.A5GT.01A	0.89	0.619	0.185	2	2.29	2.26	0.418	0.201	0.0552	0
TCGA.D3.A5GU.06A	0.76	0.586	0.0457	2	1.78	1.84	0.164	0.422	0.00838	0
TCGA.D3.A8GB.06A	0.21	0.206	0.27	2	1.92	1.98	0.0617	0.144	0.0451	0
TCGA.D3.A8GC.06A	0.87	0.492	0.0175	2	1.76	1.79	0.0757	0.417	0.00516	0
TCGA.D3.A8GD.06A	0.18	0.444	0.451	2	1.93	1.99	0.13	0.314	0.115	0.0217
TCGA.D3.A8GE.06A	0.26	0.00686	0	2	2	2	0.00686	0	0	0
TCGA.D3.A8GI.06A	0.9	0.385	0.169	4	3.89	3.9	0.139	0.246	0	0
TCGA.D3.A8GJ.06A	0.43	0.364	0.662	2	2.1	2.04	0.174	0.191	0.0206	0.174
TCGA.D3.A8GK.06A	0.8	0.407	0.114	2	2.17	2.14	0.257	0.15	0	0
TCGA.D3.A8GL.06A	0.97	0.412	0.544	4	4.09	4.09	0.248	0.164	0	0.0207
TCGA.D3.A8GM.06A	0.66	0.561	0.459	4	4.21	4.14	0.323	0.238	0	0
TCGA.D3.A8GN.06A	0.19	0.355	0.33	2	1.91	1.98	0.136	0.219	0.0862	0.0138
TCGA.D3.A8GO.06A	0.33	0.355	0.223	2	2.24	2.08	0.163	0.192	0.00152	0
TCGA.D3.A8GP.06A	0.96	0.352	0.137	4	3.81	3.81	0.0683	0.283	0	0.00333
TCGA.D3.A8GQ.06A	0.68	0.316	0.0289	2	1.94	1.96	0.0401	0.276	0	0.00182
TCGA.D3.A8GR.06A	0.81	0.331	0.139	2	1.89	1.91	0.104	0.228	0.0127	0.0191
TCGA.D3.A8GS.06A	0.21	0.451	0.346	2	2.45	2.09	0.308	0.144	0.0463	0.00319
TCGA.D3.A8GV.06A	0.96	0.384	0.445	4	3.92	3.92	0.171	0.213	0	0.00353
TCGA.D9.A148.06A	0.84	0.521	0.413	4	3.83	3.86	0.215	0.306	0	0
TCGA.D9.A149.06A	0.69	0.406	0.235	4	3.93	3.95	0.133	0.273	0	0
