sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.2E.A9G8.01A	0.91	0.517	0.0176	2	1.85	1.86	0.188	0.33	0.00364	0.00364
TCGA.4E.A92E.01A	0.52	0.165	0.178	2	2.06	2.03	0.0882	0.0768	0	0
TCGA.5B.A90C.01A	0.88	0.642	0.34	4	3.55	3.6	0.198	0.445	0	0
TCGA.5S.A9Q8.01A	0.98	0.272	0.0329	2	2.02	2.02	0.152	0.12	0.00896	0
TCGA.A5.A0G1.01A	0.39	0.0951	0.319	2	2.01	2	0.0607	0.0344	0	0.0304
TCGA.A5.A0G2.01A	0.36	0.349	0.282	2	1.98	1.99	0.169	0.18	0.00214	0
TCGA.A5.A0G3.01A	0.95	0.553	0.408	4	4.54	4.51	0.393	0.16	0	0
TCGA.A5.A0G5.01A	0.56	0.555	0.15	2	2.06	2.03	0.221	0.334	0.00173	0.0398
TCGA.A5.A0G9.01A	0.9	0.0886	0.178	2	2.06	2.06	0.0413	0.0472	0	0.0138
TCGA.A5.A0GA.01A	0.53	0.0749	0.275	2	2.06	2.03	0.0412	0.0337	0.00375	0.00936
TCGA.A5.A0GB.01A	0.9	0.155	0.0658	2	2.03	2.03	0.0713	0.0835	0	0.00815
TCGA.A5.A0GD.01A	0.75	0.236	0	2	1.99	1.99	0.0947	0.141	0	0
TCGA.A5.A0GE.01A	0.59	0.37	0.497	2	2.1	2.06	0.159	0.211	0	0.167
TCGA.A5.A0GG.01A	0.28	0.361	0.117	2	2.06	2.02	0.272	0.0891	0.00938	0
TCGA.A5.A0GH.01A	0.96	0.0636	0.0312	2	1.99	1.99	0.0139	0.0497	0.00199	0
TCGA.A5.A0GJ.01A	0.82	0.482	0.246	2	1.88	1.9	0.177	0.305	0.0971	0.00971
TCGA.A5.A0GM.01A	0.64	0.0265	0	2	2	2	0	0.0265	0	0
TCGA.A5.A0GN.01A	0.8	0.597	0.00319	2	2.39	2.31	0.433	0.164	0	0
TCGA.A5.A0GP.01A	0.85	0.0372	0	2	2	2	0.0176	0.0196	0	0
TCGA.A5.A0GQ.01A	0.24	0.61	0.0337	2	1.91	1.98	0.121	0.489	0.00411	0
TCGA.A5.A0GR.01A	0.46	0.452	0.179	2	1.78	1.9	0.116	0.336	0.0687	0
TCGA.A5.A0GU.01A	0.43	0.243	0.188	2	2.17	2.07	0.141	0.102	0	0
TCGA.A5.A0GV.01A	0.09	0.377	0.471	2	4.28	2.2	0.292	0.0847	0.0988	0.0101
TCGA.A5.A0GW.01A	0.81	0.0743	0	2	2.03	2.02	0.0594	0.0149	0	0
TCGA.A5.A0GX.01A	0.88	0.0544	0	2	2	2	0.0136	0.0408	0	0
TCGA.A5.A0R6.01A	0.58	0.256	0.627	4	3.86	3.92	0.0485	0.207	0	0
TCGA.A5.A0R7.01A	0.74	0.292	0.0447	2	1.83	1.88	0.0571	0.235	0.0131	0
TCGA.A5.A0R8.01A	0.13	0.0736	0.541	2	2.02	2	0.0596	0.0139	0.0119	0.00795
TCGA.A5.A0R9.01A	0.59	0.237	0.216	2	2.06	2.04	0.131	0.106	0	0
TCGA.A5.A0RA.01A	0.72	0.00975	0	2	2	2	0.00139	0.00836	0	0
TCGA.A5.A0VP.01A	0.75	0.541	0.101	2	1.89	1.92	0.216	0.325	0.0548	0
TCGA.A5.A0VQ.01A	0.9	0.0222	0	2	2	2	0.0133	0.00888	0	0
TCGA.A5.A1OF.01A	0.99	0.0191	0	2	2	2	0.00441	0.0147	0	0
TCGA.A5.A1OG.01A	0.78	0.442	0.0797	2	1.94	1.95	0.122	0.32	0.0064	0.0144
TCGA.A5.A1OH.01A	0.79	0.59	0.192	4	3.81	3.85	0.205	0.385	0	0
TCGA.A5.A1OJ.01A	0.43	0.0508	0.742	2	2.07	2.03	0.0426	0.0082	0	0
TCGA.A5.A1OK.01A	0.76	0.469	0.0845	2	2.07	2.05	0.234	0.234	0	0
TCGA.A5.A2K2.01A	0.87	0.459	0.313	4	3.97	3.98	0.21	0.25	0	0
TCGA.A5.A2K3.01A	0.2	0.0826	0.455	2	2.07	2.01	0.0315	0.0511	0.0135	0.003
TCGA.A5.A2K4.01A	0.64	0.345	0.304	4	3.63	3.76	0.0553	0.29	0	0
TCGA.A5.A2K5.01A	0.79	0.153	0	2	2	2	0.0804	0.0729	0	0
TCGA.A5.A2K7.01A	0.12	0.249	0.679	2	1.96	2	0.0854	0.163	0.093	0.0512
TCGA.A5.A3LO.01A	0.53	0.609	0.4	4	3.52	3.74	0.0112	0.597	0	0
TCGA.A5.A3LP.01A	0.74	0.712	0.374	4	3.72	3.79	0.216	0.496	0	0
TCGA.A5.A7WJ.01A	0.1	0.225	0.708	2	2.64	2.06	0.107	0.118	0.118	0.0121
TCGA.A5.A7WK.01A	0.94	0.447	0.201	2	1.84	1.85	0.176	0.271	0.0862	0
TCGA.A5.AB3J.01A	0.44	0.504	0.0246	2	2.14	2.06	0.27	0.233	0	0.00707
TCGA.AJ.A23N.01A	0.64	0.58	0.397	4	3.76	3.85	0.191	0.389	0	0
TCGA.AJ.A2QK.01A	0.65	0.241	0.432	4	3.69	3.8	0.0256	0.216	0	0
TCGA.AJ.A2QL.01A	0.68	0.355	0	2	1.98	1.98	0.0986	0.256	0	0
TCGA.AJ.A2QM.01A	0.88	0.405	0.141	2	1.91	1.92	0.129	0.276	0.0441	0.00327
TCGA.AJ.A2QN.01A	0.63	0.279	0.015	2	1.98	1.99	0.0489	0.23	0.00419	0
TCGA.AJ.A2QO.01A	0.95	0.068	0	2	2	2	0.0249	0.0431	0	0
TCGA.AJ.A3BD.01A	0.8	0.643	0.231	4	3.86	3.89	0.286	0.357	0	0
TCGA.AJ.A3BF.01A	0.78	0.587	0.0769	2	1.78	1.83	0.177	0.41	0.0379	0.00542
TCGA.AJ.A3BG.01A	0.95	0.0635	0.0541	2	1.99	1.99	0.0257	0.0377	0.00343	0
TCGA.AJ.A3BH.01A	0.66	0.128	0.0667	2	2.01	2.01	0.0445	0.0839	0.00685	0.00171
TCGA.AJ.A3BI.01A	0.82	0.483	0.0413	2	1.82	1.86	0.0706	0.413	0.0184	0
TCGA.AJ.A3BK.01A	0.47	0.265	0.101	2	2.22	2.1	0.2	0.0654	0	0
TCGA.AJ.A3EJ.01A	0.73	0.537	0.233	4	3.54	3.67	0.102	0.436	0	0
TCGA.AJ.A3EK.01A	0.19	0.0793	0.159	2	2.01	2	0.0396	0.0396	0	0.0036
TCGA.AJ.A3EL.01A	0.97	0.0768	0	2	2	2	0.0303	0.0465	0	0
TCGA.AJ.A3EM.01A	0.83	0.613	0.447	4	3.49	3.58	0.122	0.491	0	0
TCGA.AJ.A3I9.01A	0.95	0.253	0.154	2	1.89	1.9	0.076	0.177	0.039	0
TCGA.AJ.A3IA.01A	0.57	0.622	0.138	2	1.91	1.95	0.241	0.381	0.00547	0.0292
TCGA.AJ.A3NC.01A	0.68	0.303	0.16	2	2.13	2.09	0.132	0.171	0	0
TCGA.AJ.A3NE.01A	0.73	0.131	0.0814	2	1.99	1.99	0.0549	0.0762	0.00305	0.00762
TCGA.AJ.A3NF.01A	0.17	0.36	0.452	2	1.95	1.99	0.163	0.197	0.09	0.0329
TCGA.AJ.A3NG.01A	0.81	0.455	0.157	2	2.15	2.12	0.218	0.238	0	0.0139
TCGA.AJ.A3NH.01A	0.71	0.721	0.0632	2	1.64	1.74	0.182	0.539	0.0356	0.00198
TCGA.AJ.A3OJ.01A	0.75	0.695	0	2	1.99	1.99	0.296	0.4	0	0
TCGA.AJ.A3OK.01A	0.84	0.142	0	2	2	2	0.0657	0.0764	0	0
TCGA.AJ.A3OL.01A	0.89	0.245	0.0621	2	2.1	2.09	0.139	0.106	0	0
TCGA.AJ.A3QS.01A	0.58	0.561	0.37	4	3.99	3.99	0.235	0.326	0	0
TCGA.AJ.A3TW.01A	0.67	0.623	0.28	4	3.97	3.98	0.225	0.398	0	0
TCGA.AJ.A5DV.01A	0.06	0.387	1	2	2.01	2	0.19	0.198	0.228	0.21
