sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.N5.A4RA.01A	0.92	0.619	0.139	2	1.72	1.74	0.0483	0.571	0.0861	0
TCGA.N5.A4RD.01A	0.98	0.376	0.0601	2	1.91	1.91	0.0935	0.282	0.021	0
TCGA.N5.A4RF.01A	0.92	0.711	0.377	6	5.98	5.98	0.274	0.437	0	0
TCGA.N5.A4RJ.01A	0.93	0.623	0.0693	2	1.81	1.82	0.136	0.487	0.0311	0.00173
TCGA.N5.A4RM.01A	0.92	0.512	0.0836	4	3.69	3.72	0.157	0.355	0	0
TCGA.N5.A4RN.01A	0.96	0.542	0.212	4	4.13	4.13	0.249	0.293	0	0.0519
TCGA.N5.A4RO.01A	0.9	0.602	0.0302	2	1.74	1.76	0.123	0.48	0.0167	0
TCGA.N5.A4RT.01A	0.97	0.579	0.165	2	1.76	1.76	0.123	0.457	0.0632	0.0253
TCGA.N5.A4RU.01A	0.92	0.425	0.276	4	3.78	3.8	0.128	0.297	0	0.0071
TCGA.N5.A4RV.01A	0.96	0.462	0.0595	2	2.13	2.12	0.253	0.209	0.00367	0.0128
TCGA.N5.A59E.01A	0.9	0.733	0.237	4	4.18	4.16	0.339	0.394	0	0
TCGA.N5.A59F.01A	0.8	0.476	0.0631	2	1.91	1.93	0.134	0.341	0.00158	0.0142
TCGA.N6.A4V9.01A	0.94	0.939	0.171	4	3.87	3.88	0.602	0.337	0	0
TCGA.N6.A4VC.01A	0.88	0.639	0.592	4	3.48	3.54	0.138	0.502	0	0
TCGA.N6.A4VD.01A	0.95	0.217	0.253	4	4.02	4.02	0.0785	0.139	0	0
TCGA.N6.A4VE.01A	0.95	0.846	0.192	4	4.05	4.05	0.449	0.397	0	0
TCGA.N6.A4VF.01A	0.71	0.566	0.0133	2	1.85	1.89	0.158	0.408	0.00601	0.0015
TCGA.N6.A4VG.01A	0.9	0.692	0.166	4	3.67	3.7	0.237	0.455	0	0.00198
TCGA.N7.A4Y0.01A	0.44	0.512	0.33	2	2.44	2.19	0.285	0.228	0	0
TCGA.N7.A4Y5.01A	0.92	0.785	0.177	2	2.21	2.2	0.4	0.384	0	0.101
TCGA.N7.A4Y8.01A	0.97	0.554	0.123	4	3.32	3.34	0.0878	0.466	0	0.0305
TCGA.N7.A59B.01A	0.95	0.453	0.185	2	2.04	2.04	0.254	0.199	0.064	0
TCGA.N8.A4PI.01A	0.87	0.47	0.0611	2	2.07	2.06	0.297	0.172	0.00179	0
TCGA.N8.A4PL.01A	0.94	0.714	0.297	4	3.41	3.44	0.158	0.556	0	0
TCGA.N8.A4PM.01A	0.98	0.283	0.288	4	3.94	3.94	0.103	0.181	0	0.00194
TCGA.N8.A4PN.01A	0.94	0.365	0.293	4	4.1	4.09	0.146	0.22	0	0
TCGA.N8.A4PO.01A	0.95	0.61	0.369	4	3.5	3.53	0.141	0.469	0	0
TCGA.N8.A4PP.01A	0.7	0.38	0.183	2	2.02	2.01	0.18	0.2	0	0.0379
TCGA.N8.A4PQ.01A	0.8	0.576	0.25	2	1.94	1.95	0.166	0.41	0.00858	0.101
TCGA.N8.A56S.01A	0.83	0.548	0.0831	2	1.87	1.89	0.193	0.356	0.0368	0.00525
TCGA.N9.A4PZ.01A	0.91	0.688	0.24	4	3.49	3.53	0.138	0.55	0	0
TCGA.N9.A4Q1.01A	0.95	0.724	0.244	4	3.22	3.26	0.171	0.552	0	0
TCGA.N9.A4Q3.01A	0.96	0.748	0.652	4	3.55	3.57	0.162	0.586	0	0.00394
TCGA.N9.A4Q4.01A	0.96	0.5	0.488	4	3.67	3.68	0.155	0.345	0	0.00781
TCGA.N9.A4Q7.01A	0.43	0.401	0.147	2	2.18	2.08	0.286	0.115	0	0.0354
TCGA.N9.A4Q8.01A	0.79	0.662	0.122	2	2.12	2.1	0.31	0.352	0.00352	0.0458
TCGA.NA.A4QV.01A	0.91	0.728	0.428	4	3.57	3.61	0.153	0.575	0	0
TCGA.NA.A4QW.01A	0.94	0.767	0.261	4	3.82	3.84	0.371	0.397	0	0
TCGA.NA.A4QX.01A	0.88	0.452	0.307	4	4.04	4.03	0.233	0.22	0	0
TCGA.NA.A4QY.01A	0.9	0.753	0.295	4	3.22	3.3	0.141	0.612	0	0
TCGA.NA.A4R0.01A	0.4	0.488	0.41	4	3.87	3.95	0.108	0.38	0	0
TCGA.NA.A4R1.01A	0.99	0.372	0.315	4	3.97	3.97	0.166	0.207	0	0.0138
TCGA.NA.A5I1.01A	0.86	0.673	0.175	4	4.06	4.05	0.435	0.238	0	0
TCGA.ND.A4W6.01A	0.69	0.833	0.31	4	4.04	4.03	0.366	0.467	0	0
TCGA.ND.A4WA.01A	0.87	0.903	0.0186	2	2.58	2.51	0.651	0.252	0.0021	0.0042
TCGA.ND.A4WC.01A	0.76	0.133	0.0303	2	1.99	2	0.0622	0.0703	0.00201	0.00201
TCGA.ND.A4WF.01A	0.96	0.692	0.371	4	3.63	3.65	0.134	0.558	0	0.115
TCGA.NF.A4WU.01A	0.64	0.702	0.102	4	3.78	3.86	0.285	0.417	0	0
TCGA.NF.A4X2.01A	0.8	0.861	0.248	4	4.25	4.2	0.514	0.347	0	0
TCGA.NF.A5CP.01A	0.7	0.62	0.163	4	4.23	4.16	0.258	0.362	0	0
TCGA.NG.A4VU.01A	0.91	0.804	0.342	2	2.21	2.19	0.382	0.422	0.00194	0.217
TCGA.NG.A4VW.01A	0.44	0.591	0.0962	2	2.29	2.13	0.333	0.258	0	0
TCGA.QM.A5NM.01A	0.95	0.593	0.193	4	4.18	4.17	0.36	0.233	0	0
TCGA.QN.A5NN.01A	0.84	0.668	0.281	2	2.14	2.12	0.306	0.363	0	0.152
