sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.3L.AA1B.01A	0.23	0.301	0.22	2	1.76	1.94	0.0298	0.272	0.0563	0.00166
TCGA.4N.A93T.01A	0.86	0.43	0.148	2	1.83	1.85	0.123	0.306	0.0634	0
TCGA.4T.AA8H.01A	0.81	0.396	0.365	4	4.26	4.21	0.227	0.169	0	0
TCGA.5M.AAT4.01A	0.79	0.497	0.0271	2	1.84	1.87	0.121	0.376	0.0101	0
TCGA.5M.AAT5.01A	0.88	0.577	0.164	6	5.38	5.45	0.13	0.447	0	0
TCGA.5M.AAT6.01A	0.25	0.179	0.333	2	2.08	2.02	0.0993	0.0794	0.0162	0.0289
TCGA.5M.AATA.01A	0.6	0.482	0.39	4	4.03	4.02	0.202	0.28	0	0
TCGA.5M.AATE.01A	0.85	0.487	0.335	4	4.28	4.23	0.237	0.25	0	0
TCGA.A6.2670.01A	0.68	0.794	0.316	4	4.18	4.12	0.412	0.382	0	0
TCGA.A6.2671.01A	0.85	0.544	0.0742	2	1.81	1.84	0.123	0.421	0.0129	0.00968
TCGA.A6.2672.01A	0.68	0.0996	0.132	2	2.07	2.05	0.0677	0.032	0	0
TCGA.A6.2672.01B	0.16	0.37	0.147	2	2.04	2.01	0.209	0.162	0.015	0
TCGA.A6.2674.01A	0.18	0.342	0.464	2	2.21	2.04	0.173	0.168	0.0594	0.0264
TCGA.A6.2675.01A	0.47	0.578	0.298	4	3.74	3.88	0.145	0.433	0	0
TCGA.A6.2676.01A	0.73	0.096	0.434	2	2.04	2.03	0.0616	0.0344	0	0.0236
TCGA.A6.2677.01A	0.96	0.249	0.298	2	1.96	1.96	0.0863	0.163	0.0522	0.00402
TCGA.A6.2677.01B	0.16	0.387	0.309	2	1.98	2	0.18	0.208	0.0459	0.022
TCGA.A6.2678.01A	0.75	0.389	0.0211	2	1.8	1.85	0.0738	0.316	0.00615	0.00205
TCGA.A6.2679.01A	0.61	0.601	0.514	4	3.75	3.85	0.205	0.395	0	0
TCGA.A6.2680.01A	0.71	0.28	0.0465	2	2.01	2.01	0.0797	0.2	0.00976	0
TCGA.A6.2681.01A	0.71	0.672	0.242	4	3.85	3.89	0.208	0.464	0	0
TCGA.A6.2682.01A	0.57	0.396	0.0283	2	1.97	1.98	0.136	0.26	0.00748	0.00374
TCGA.A6.2683.01A	0.95	0.451	0.448	4	3.9	3.91	0.133	0.318	0	0
TCGA.A6.2684.01A	0.7	0.175	0.119	2	1.87	1.91	0.00965	0.166	0.00161	0.0193
TCGA.A6.2684.01C	0.12	0.445	0.552	2	1.95	1.99	0.207	0.238	0.148	0.0498
TCGA.A6.2685.01A	0.9	0.0511	0.175	2	2.03	2.02	0.0358	0.0153	0	0
TCGA.A6.2686.01A	0.72	0.311	0.352	4	3.77	3.84	0.0623	0.249	0	0
TCGA.A6.3807.01A	0.58	0.518	0.25	4	4.36	4.21	0.319	0.199	0	0
TCGA.A6.3809.01A	0.51	0.363	0	2	2	2	0.137	0.226	0	0
TCGA.A6.3809.01B	0.15	0.357	0.528	2	2	2	0.166	0.191	0.079	0.0745
TCGA.A6.3810.01A	0.72	0.527	0.168	2	2.14	2.1	0.235	0.292	0	0.0222
TCGA.A6.3810.01B	0.2	0.338	0.258	2	2.19	2.04	0.198	0.14	0.0324	0
TCGA.A6.4105.01A	0.63	0.679	0.0616	2	2.17	2.11	0.53	0.149	0.00199	0.0279
TCGA.A6.4107.01A	0.56	0.436	0.506	4	3.94	3.97	0.154	0.282	0	0
TCGA.A6.5656.01A	0.84	0.406	0.221	2	2.07	2.06	0.178	0.228	0.0112	0.028
TCGA.A6.5656.01B	0.16	0.458	0.331	2	1.96	1.99	0.207	0.25	0.057	0.0501
TCGA.A6.5657.01A	0.28	0.275	0.47	2	2.11	2.03	0.192	0.083	0.0351	0.00185
TCGA.A6.5659.01A	0.9	0.574	0.0516	2	2	2	0.233	0.341	0.0185	0
TCGA.A6.5659.01B	0.13	0.369	0.709	2	2.06	2.01	0.211	0.157	0.122	0.0815
TCGA.A6.5660.01A	0.74	0.61	0.0885	2	2.07	2.06	0.313	0.297	0.00476	0
TCGA.A6.5661.01A	0.84	0.105	0.0115	2	1.99	1.99	0.0109	0.0941	0	0.00121
TCGA.A6.5661.01B	0.21	0.51	0.141	2	1.66	1.93	0.197	0.313	0.042	0
TCGA.A6.5662.01A	0.84	0.626	0.0769	2	1.99	1.99	0.251	0.374	0.0428	0
TCGA.A6.5664.01A	0.17	0.253	0.479	2	2.02	2	0.12	0.134	0.0591	0.0311
TCGA.A6.5665.01A	0.71	0.191	0.0283	2	1.98	1.99	0.0811	0.11	0.00541	0
TCGA.A6.5665.01B	0.19	0.297	0.0485	2	1.85	1.97	0.13	0.168	0.00541	0
TCGA.A6.5666.01A	0.8	0.55	0.0315	2	2.06	2.05	0.319	0.231	0.00577	0.00192
TCGA.A6.5667.01A	0.84	0.785	0.29	4	3.31	3.42	0.0828	0.702	0	0
TCGA.A6.6137.01A	0.56	0.125	0.375	2	2.04	2.02	0.0609	0.0643	0	0
TCGA.A6.6138.01A	0.59	0.434	0.388	4	3.93	3.96	0.107	0.327	0	0
TCGA.A6.6140.01A	0.75	0.608	0.016	2	2.01	2.01	0.252	0.355	0.00777	0
TCGA.A6.6141.01A	0.88	0.0918	0	2	2	2	0.0322	0.0596	0	0
TCGA.A6.6142.01A	0.57	0.641	0.652	4	3.86	3.92	0.132	0.509	0	0
TCGA.A6.6648.01A	0.55	0.539	0.509	4	4.03	4.02	0.228	0.311	0	0
TCGA.A6.6649.01A	0.5	0.51	0.502	4	3.94	3.97	0.101	0.408	0	0.00382
TCGA.A6.6650.01A	0.95	0.423	0.333	2	1.92	1.92	0.0746	0.348	0.0925	0
TCGA.A6.6650.01B	0.51	0.217	0.0573	2	2.04	2.02	0.0952	0.121	0	0
TCGA.A6.6651.01A	0.37	0.611	0.112	2	2.12	2.04	0.317	0.294	0	0.0286
