sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.FA.8693.01A	0.61	0.228	0	2	1.99	1.99	0.0878	0.14	0	0
TCGA.FA.A4BB.01A	0.22	0.162	0.59	2	2	2	0.082	0.0801	0.0332	0.0527
TCGA.FA.A6HN.01A	0.43	0.333	0.0823	2	2.04	2.02	0.158	0.175	0	0.0105
TCGA.FA.A6HO.01A	0.56	0.255	0.309	2	2.13	2.07	0.146	0.109	0	0
TCGA.FA.A7DS.01A	0.79	0.258	0.0168	2	2.05	2.04	0.136	0.121	0	0.00433
TCGA.FA.A7Q1.01A	0.88	0.492	0.0165	2	2.15	2.13	0.274	0.217	0.00203	0.00407
TCGA.FA.A82F.01A	0.65	0.352	0.0652	2	2.03	2.02	0.18	0.172	0	0
TCGA.FA.A86F.01A	0.21	0.111	0.167	2	2	2	0.0455	0.0657	0.0118	0.00168
TCGA.FF.8041.01A	0.69	0.888	0.0331	4	3.61	3.73	0.314	0.574	0	0
TCGA.FF.8042.01A	0.85	0.424	0.589	4	4.54	4.46	0.325	0.0986	0	0
TCGA.FF.8043.01A	0.96	0.367	0.469	4	3.92	3.92	0.15	0.218	0	0.00325
TCGA.FF.8046.01A	0.6	0.121	0	2	2.01	2.01	0.0298	0.0909	0	0
TCGA.FF.8047.01A	0.96	0.3	0.204	2	1.93	1.94	0.124	0.176	0.0612	0
TCGA.FF.8061.01A	0.79	0.0845	0	2	1.99	2	0.0158	0.0687	0	0
TCGA.FF.8062.01A	0.05	0	NaN	2	2.03	2	0	0	0	0
TCGA.FF.A7CQ.01A	0.57	0.16	0.198	2	2.12	2.07	0.11	0.0502	0	0.0112
TCGA.FF.A7CR.01A	0.53	0.232	0.0082	2	1.98	1.99	0.0667	0.166	0	0
TCGA.FF.A7CW.01A	0.55	0.434	0.192	2	2.12	2.06	0.201	0.233	0	0.0341
TCGA.FF.A7CX.01A	0.92	0.233	0.094	2	1.95	1.95	0.0598	0.173	0	0.0219
TCGA.FM.8000.01A	0.82	0.382	0.0308	2	2.09	2.08	0.209	0.172	0	0.0117
TCGA.G8.6324.01A	0.21	0.0837	0.314	2	1.97	1.99	0.0213	0.0624	0.0181	0
TCGA.G8.6325.01A	0.24	0.0679	0.163	2	1.94	1.99	0.00316	0.0648	0.00948	0
TCGA.G8.6326.01A	0.7	0.288	0	2	2	2	0.145	0.143	0	0
TCGA.GR.7351.01A	0.64	0.11	0.183	2	1.97	1.98	0.0341	0.0759	0	0.0155
TCGA.GR.7353.01A	0.81	0.219	0.0476	2	1.87	1.9	0.0274	0.192	0	0.00261
TCGA.GR.A4D4.01A	0.57	0.343	0.399	2	1.95	1.97	0.153	0.19	0.0437	0.0238
TCGA.GR.A4D6.01A	0.49	0.366	0.211	2	1.94	1.97	0.0935	0.272	0.0447	0
TCGA.GR.A4D9.01B	0.68	0.135	0.38	2	2.04	2.02	0.0721	0.0626	0.00949	0.0323
TCGA.GS.A9TQ.01A	0.88	0.607	0.253	4	4.23	4.2	0.359	0.248	0	0
TCGA.GS.A9TT.01A	0.91	0.181	0.347	2	2.1	2.09	0.124	0.0575	0	0.0467
TCGA.GS.A9TU.01A	0.5	0.369	0.155	2	2.17	2.08	0.203	0.166	0.0118	0.0158
TCGA.GS.A9TV.01A	0.11	0.382	0.85	2	1.98	2	0.186	0.197	0.223	0.0501
TCGA.GS.A9TW.01A	0.64	0.262	0.231	2	2.06	2.04	0.124	0.138	0	0.0202
TCGA.GS.A9TX.01A	0.17	0.203	0.438	2	2.08	2.01	0.0924	0.111	0.0185	0.0118
TCGA.GS.A9TY.01A	0.89	0.658	0.237	4	3.64	3.68	0.177	0.481	0	0
TCGA.GS.A9TZ.01A	0.58	0.354	0.426	4	3.94	3.96	0.109	0.244	0	0
TCGA.GS.A9U3.01A	0.21	0.166	0.542	2	2.3	2.06	0.111	0.0553	0.0104	0
TCGA.GS.A9U4.01A	0.19	0.0678	0.513	2	2.01	2	0.0226	0.0452	0.0174	0.00348
TCGA.RQ.A68N.01A	0.66	0.515	0.436	4	3.91	3.94	0.191	0.324	0	0
TCGA.RQ.A6JB.01A	0.74	0.401	0.132	2	1.98	1.98	0.137	0.264	0.00549	0.0476
TCGA.RQ.AAAT.01A	0.86	0.313	0.25	4	3.95	3.96	0.128	0.186	0	0
TCGA.VB.A8QN.01A	0.51	0.237	0.0938	2	1.97	1.99	0.0813	0.155	0.0111	0
