sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.02.0001.01C	0.64	0.57	0.0904	2	1.97	1.98	0.168	0.402	0.00515	0
TCGA.02.0002.01A	0.97	0.0113	0.167	2	2	2	0.00375	0.0075	0	0.00188
TCGA.02.0003.01A	0.85	0.353	0	2	1.93	1.94	0.144	0.209	0	0
TCGA.02.0006.01B	0.57	0.344	0.0104	2	1.87	1.92	0.043	0.301	0.00179	0
TCGA.02.0007.01A	0.95	0.287	0.361	2	1.87	1.87	0.0625	0.225	0.082	0
TCGA.02.0009.01A	0.89	0.307	0.0131	2	1.95	1.96	0.131	0.177	0.00201	0
TCGA.02.0010.01A	0.82	0.606	0.00608	2	1.91	1.93	0.267	0.339	0	0
TCGA.02.0011.01B	0.9	0.547	0.253	4	3.68	3.71	0.231	0.315	0	0
TCGA.02.0014.01A	0.9	0.548	0.0414	2	1.94	1.94	0.22	0.328	0.0122	0.00349
TCGA.02.0015.01A	0.84	0.503	0.00345	2	2	2	0.291	0.211	0	0.00173
TCGA.02.0016.01A	0.81	0.492	0.0268	2	1.91	1.93	0.222	0.27	0.0115	0
TCGA.02.0021.01A	0.89	0.389	0.0283	2	1.99	1.99	0.169	0.22	0.011	0
TCGA.02.0023.01B	0.76	0.374	0.00442	2	1.95	1.96	0.174	0.2	0	0
TCGA.02.0024.01B	0.93	0.335	0.0918	2	1.96	1.96	0.0939	0.241	0.0307	0
TCGA.02.0025.01A	0.18	0.285	0.158	2	2.1	2.02	0.139	0.146	0.00901	0.0126
TCGA.02.0026.01B	0.84	0.283	0.0496	2	1.9	1.92	0.122	0.16	0.014	0
TCGA.02.0027.01A	0.65	0.148	0.013	2	1.89	1.93	0.0134	0.134	0.00192	0
TCGA.02.0028.01A	0.95	0.231	0.662	4	3.98	3.99	0.0985	0.132	0	0
TCGA.02.0033.01A	0.38	0.196	0.066	2	2.01	2.01	0.113	0.083	0	0
TCGA.02.0034.01A	0.49	0.179	0.711	4	3.69	3.85	0.00921	0.169	0	0
TCGA.02.0037.01A	0.85	0.298	0.0539	2	2.01	2.01	0.121	0.176	0.00178	0.0143
TCGA.02.0038.01A	0.77	0.49	0.0189	2	1.93	1.95	0.178	0.312	0.00742	0
TCGA.02.0039.01A	0.2	0.454	0.0356	2	1.39	1.88	0.135	0.319	0.00202	0
TCGA.02.0043.01A	0.97	0.195	0.579	4	3.95	3.95	0.0919	0.103	0	0.00968
TCGA.02.0046.01A	0.89	0.317	0.0144	2	2	2	0.175	0.142	0.00305	0
TCGA.02.0047.01A	0.72	0.137	0.156	2	1.97	1.98	0.0177	0.119	0.00887	0.0124
TCGA.02.0048.01A	0.87	0.475	0.0156	2	1.95	1.96	0.294	0.181	0.00185	0
TCGA.02.0051.01A	0.79	0.755	0.0383	2	1.88	1.91	0.188	0.567	0.00361	0.0253
TCGA.02.0052.01A	0.69	0.157	0.0444	2	1.91	1.94	0.0227	0.135	0.00699	0
TCGA.02.0054.01A	0.45	0.354	0.175	2	2.06	2.03	0.142	0.212	0	0
TCGA.02.0055.01A	0.69	0.595	0.424	6	5.47	5.63	0.112	0.484	0	0
TCGA.02.0057.01A	0.17	0.217	0.453	2	2.08	2.01	0.141	0.0762	0.0428	0.013
TCGA.02.0058.01A	0.77	0.278	0	2	1.93	1.95	0.0925	0.185	0	0
TCGA.02.0059.01A	0.66	0.294	0.0483	2	1.96	1.97	0.126	0.168	0	0.0101
TCGA.02.0060.01A	0.76	0.133	0.229	2	1.97	1.98	0.0323	0.101	0.0247	0
TCGA.02.0064.01A	0.58	0.32	0.0353	2	1.9	1.94	0.0996	0.22	0.00376	0
