sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.4P.AA8J.01A	0.25	0.12	0.411	2	2.02	2	0.0395	0.0806	0.0181	0.00329
TCGA.BA.4074.01A	0.51	0.596	0.617	4	3.54	3.77	0.182	0.415	0	0
TCGA.BA.4075.01A	0.7	0.771	0.35	4	4.69	4.48	0.445	0.326	0	0
TCGA.BA.4076.01A	0.84	0.575	0.0528	2	1.89	1.9	0.166	0.409	0.0107	0.00357
TCGA.BA.4077.01B	0.68	0.52	0.0226	2	2.07	2.05	0.249	0.271	0.00588	0.00392
TCGA.BA.4078.01A	0.85	0.601	0.173	2	1.66	1.71	0.13	0.472	0.0963	0
TCGA.BA.5149.01A	0.58	0.629	0.495	4	4.19	4.11	0.373	0.255	0	0
TCGA.BA.5152.01A	0.19	0.253	0.315	2	1.9	1.98	0.0664	0.187	0.0498	0.00603
TCGA.BA.5153.01A	0.78	0.232	0.276	2	1.96	1.97	0.0879	0.144	0.0319	0
TCGA.BA.5555.01A	0.57	0.211	0.561	2	2.21	2.12	0.182	0.0288	0	0.0394
TCGA.BA.5556.01A	0.31	0.115	0.644	2	2.01	2	0.0292	0.0858	0.00195	0.0604
TCGA.BA.5557.01A	0.23	0.295	0.269	2	1.98	1.99	0.101	0.193	0.0295	0.00737
TCGA.BA.5558.01A	0.41	0.0927	0.521	2	2.13	2.05	0.0656	0.027	0.00579	0.0116
TCGA.BA.5559.01A	0.58	0.548	0.28	2	2.26	2.15	0.347	0.201	0.00797	0.0757
TCGA.BA.6868.01B	0.79	0.508	0.0506	2	1.95	1.96	0.185	0.323	0.00643	0
TCGA.BA.6869.01A	0.6	0.455	0.303	2	2.03	2.02	0.164	0.291	0.0226	0.066
TCGA.BA.6870.01A	0.43	0.357	0.622	4	3.94	3.97	0.0903	0.266	0	0
TCGA.BA.6871.01A	0.78	0.521	0.0772	2	2.08	2.07	0.206	0.315	0.00168	0.00335
TCGA.BA.6873.01A	0.55	0.489	0.543	4	3.7	3.83	0.0906	0.399	0	0
TCGA.BA.7269.01A	0.65	0.539	0.159	2	2.05	2.04	0.208	0.331	0	0.0218
TCGA.BA.A4IF.01A	0.44	0.099	0.458	2	2.13	2.06	0.0839	0.0151	0	0
TCGA.BA.A4IG.01A	0.58	0.276	0.716	4	3.8	3.88	0.0726	0.203	0	0
TCGA.BA.A4IH.01A	0.9	0.37	0.259	2	1.85	1.86	0.0792	0.291	0.0921	0.00184
TCGA.BA.A4II.01A	0.23	0.259	0.34	2	2.13	2.03	0.155	0.105	0.0162	0.0018
TCGA.BA.A6D8.01A	0.67	0.632	0.573	4	3.52	3.68	0.162	0.471	0	0
TCGA.BA.A6DA.01A	0.45	0.37	0.34	2	2.01	2.01	0.153	0.217	0.0775	0.0116
TCGA.BA.A6DD.01A	0.11	0.503	0.808	2	2.16	2.02	0.263	0.241	0.297	0.0269
TCGA.BA.A6DE.01A	0.64	0.518	0.241	2	1.68	1.8	0.0688	0.449	0.0815	0.0326
TCGA.BA.A6DF.01A	0.21	0.134	0.227	2	2.01	2	0.0411	0.093	0.0143	0.00358
TCGA.BA.A6DG.01A	0.1	0.581	0.822	2	1.91	1.99	0.188	0.393	0.311	0.093
TCGA.BA.A6DI.01A	0.18	0.786	0.132	2	2.29	2.05	0.463	0.323	0	0.0439
TCGA.BA.A6DJ.01A	0.55	0.514	0.0356	2	2	2	0.13	0.384	0.011	0.00731
TCGA.BA.A6DL.01A	0.44	0.421	0.493	4	4.15	4.07	0.147	0.274	0	0
TCGA.BA.A8YP.01A	0.74	0.719	0.348	4	3.69	3.77	0.212	0.507	0	0
TCGA.BB.4217.01A	0.13	0.27	0.696	2	2.01	2	0.103	0.167	0.114	0.0395
TCGA.BB.4223.01A	0.67	0.332	0.208	2	2.14	2.1	0.202	0.13	0	0
TCGA.BB.4224.01A	0.8	0.596	0.382	4	4.09	4.07	0.292	0.304	0	0
TCGA.BB.4227.01A	0.88	0.404	0.154	2	1.79	1.81	0.0595	0.344	0.057	0
TCGA.BB.4228.01A	0.95	0.2	0.358	2	2.07	2.07	0.103	0.0962	0.00437	0.0102
TCGA.BB.7861.01A	0.21	0.267	0.204	2	2.14	2.03	0.149	0.118	0.0382	0
TCGA.BB.7862.01A	0.76	0.609	0.172	2	1.74	1.8	0.135	0.474	0.0768	0.0262
TCGA.BB.7863.01A	0.47	0.488	0.206	2	2.05	2.02	0.223	0.265	0.0119	0.0731
TCGA.BB.7864.01A	0.65	0.372	0.295	2	2.04	2.03	0.179	0.193	0.00885	0.0584
TCGA.BB.7866.01A	0.72	0.216	0.147	2	1.89	1.92	0.0535	0.162	0.0178	0.0139
TCGA.BB.7871.01A	0.55	0.491	0.369	2	1.76	1.87	0.0732	0.418	0.108	0.0636
TCGA.BB.7872.01A	0.33	0.192	0.248	2	2.06	2.02	0.0949	0.0967	0.00365	0
TCGA.BB.8596.01A	0.16	0.39	0.472	2	1.89	1.98	0.129	0.261	0.0921	0.0369
TCGA.BB.8601.01A	0.87	0.57	0.0898	2	1.64	1.68	0.054	0.516	0.0483	0.00142
TCGA.BB.A5HU.01A	0.51	0.389	0.213	2	2.14	2.07	0.204	0.186	0.0144	0
TCGA.BB.A5HY.01A	0.65	0.857	0.115	2	1.82	1.88	0.301	0.557	0.00928	0.0798
TCGA.BB.A5HZ.01A	0.49	0.55	0.315	4	3.96	3.98	0.223	0.327	0	0
TCGA.BB.A6UM.01A	0.88	0.17	0.491	2	1.99	1.99	0.0418	0.129	0.0289	0.0209
TCGA.BB.A6UO.01A	0.56	0.523	0.11	2	1.85	1.91	0.0838	0.439	0.0391	0.00559
TCGA.C9.A47Z.01A	0.82	0.443	0.134	2	2.07	2.06	0.177	0.265	0.00382	0.0267
TCGA.C9.A480.01A	0.35	0.331	0.253	2	2.08	2.03	0.229	0.102	0.00818	0
TCGA.CN.4722.01A	0.12	0.138	0.693	2	2.01	2	0.0471	0.0911	0.0581	0.0157
TCGA.CN.4723.01A	0.52	0.451	0.502	4	3.86	3.93	0.122	0.328	0	0
TCGA.CN.4725.01A	0.79	0.414	0.0741	2	1.75	1.8	0.0375	0.376	0.0307	0
TCGA.CN.4726.01A	0.25	0.448	0.127	2	1.79	1.95	0.138	0.31	0.0185	0
TCGA.CN.4727.01A	0.57	0.514	0.604	4	3.48	3.7	0.0439	0.47	0	0
TCGA.CN.4728.01A	0.51	0.149	0.0252	2	2.02	2.01	0.0501	0.099	0	0
TCGA.CN.4729.01A	0.39	0.324	0.405	4	4.15	4.06	0.0974	0.227	0	0.00375
TCGA.CN.4730.01A	0.59	0.561	0.467	4	3.65	3.79	0.0944	0.466	0	0
TCGA.CN.4731.01A	0.86	0.4	0.119	2	1.88	1.9	0.05	0.35	0	0.031
TCGA.CN.4733.01A	0.6	0.228	0	2	2	2	0.101	0.127	0	0
TCGA.CN.4735.01A	0.69	0.639	0.121	2	1.8	1.86	0.163	0.476	0.017	0.0454
TCGA.CN.4736.01A	0.3	0.391	0.307	2	2.14	2.04	0.275	0.116	0.0058	0.0619
TCGA.CN.4737.01A	0.59	0.71	0.405	4	3.5	3.71	0.216	0.494	0	0
