sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.KL.8323.01A	0.92	0.42	0.518	2	1.65	1.68	0.0488	0.371	0.214	0.00375
TCGA.KL.8324.01A	0.89	0.495	0.471	2	1.49	1.55	0.00771	0.487	0.233	0
TCGA.KL.8325.01A	0.94	0.396	0.535	2	1.61	1.63	0.0118	0.384	0.212	0
TCGA.KL.8326.01A	0.83	0.0598	0.235	2	1.95	1.96	0	0.0598	0.0141	0
TCGA.KL.8327.01A	0.92	0.506	0.293	4	3.14	3.21	0.0148	0.491	0	0
TCGA.KL.8328.01A	0.93	0.481	0.316	4	3.09	3.15	0.0231	0.458	0	0
TCGA.KL.8329.01A	0.77	0.48	0.104	2	1.61	1.7	0.0729	0.407	0.0499	0
TCGA.KL.8330.01A	0.9	0.441	0.301	2	1.55	1.59	0	0.441	0.133	0
TCGA.KL.8331.01A	0.93	0.984	0.696	4	4.71	4.66	0.559	0.425	0	0
TCGA.KL.8332.01A	0.71	0.468	0.187	2	1.5	1.64	0	0.468	0.0875	0
TCGA.KL.8333.01A	0.24	0.061	0.265	2	1.94	1.99	0	0.061	0.0126	0.00359
TCGA.KL.8334.01A	0.78	0.375	0.184	2	1.61	1.7	0.0138	0.362	0.0692	0
TCGA.KL.8335.01A	0.85	0.411	0.386	2	1.6	1.66	0.0136	0.397	0.158	0
TCGA.KL.8336.01A	0.83	0.49	0.133	2	1.52	1.6	0.0231	0.467	0.0654	0
TCGA.KL.8337.01A	0.91	0.377	0.614	2	1.62	1.65	0.00685	0.37	0.231	0
TCGA.KL.8338.01A	0.8	0.345	0.414	2	1.64	1.71	0.00371	0.341	0.143	0
TCGA.KL.8339.01A	0.93	0.959	0.382	4	4.01	4.01	0.569	0.39	0	0.0102
TCGA.KL.8340.01A	0.8	0.373	0.249	2	1.62	1.69	0.00843	0.364	0.0927	0
TCGA.KL.8341.01A	0.96	0.499	0.586	2	1.64	1.66	0.0582	0.441	0.285	0
TCGA.KL.8342.01A	0.85	0.307	0.482	2	1.67	1.72	0	0.307	0.148	0
TCGA.KL.8343.01A	0.72	0.335	0.298	2	1.84	1.89	0.0705	0.264	0.092	0
TCGA.KL.8344.01A	0.69	0.368	0.0711	2	1.86	1.91	0.112	0.256	0.0262	0
TCGA.KL.8345.01A	0.84	0.419	0.265	2	1.61	1.67	0.026	0.393	0.111	0
TCGA.KL.8346.01A	0.94	0.533	0.172	2	1.44	1.48	0.00765	0.526	0.0918	0
TCGA.KM.8438.01A	0.85	0.369	0.288	2	1.66	1.71	0	0.369	0.106	0
TCGA.KM.8439.01A	0.74	0.0383	0.0455	2	2	2	0.0122	0.0261	0	0.00174
TCGA.KM.8440.01A	0.9	0.38	0.751	2	1.62	1.66	0.0101	0.37	0.285	0
TCGA.KM.8441.01A	0.97	0.121	0	2	2	2	0.0548	0.0658	0	0
TCGA.KM.8442.01A	0.9	0.468	0.629	2	1.56	1.6	0.0211	0.447	0.295	0
TCGA.KM.8443.01A	0.95	0.473	0.496	4	3.16	3.2	0.0111	0.462	0	0
TCGA.KM.8476.01A	0.89	0.414	0.594	2	1.58	1.63	0	0.414	0.246	0
TCGA.KM.8477.01A	0.91	0.0327	0.0476	2	2	2	0.00623	0.0265	0	0.00156
TCGA.KM.8639.01A	0.63	0.197	0.00971	2	2.07	2.05	0.0939	0.103	0	0.00192
TCGA.KN.8418.01A	0.87	0.985	0.218	4	3.71	3.75	0.644	0.341	0	0
