sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.CS.4938.01B	0.79	0.0843	0.0227	2	1.99	1.99	0.0192	0.0651	0.00192	0
TCGA.CS.4941.01A	0.59	0.184	0.269	2	1.96	1.98	0.0771	0.107	0.0158	0
TCGA.CS.4942.01A	0.72	0.458	0.0115	2	2.04	2.03	0.256	0.202	0	0.00175
TCGA.CS.4943.01A	0.89	0.199	0.111	2	1.94	1.95	0.0646	0.135	0.0129	0.00369
TCGA.CS.4944.01A	0.72	0.176	0.0333	2	1.94	1.96	0.0547	0.121	0.00586	0
TCGA.CS.5390.01A	0.82	0.117	0	2	1.95	1.96	0.0246	0.0928	0	0
TCGA.CS.5393.01A	0.69	0.0817	0.348	2	2.07	2.05	0.0497	0.032	0.00178	0
TCGA.CS.5394.01A	0.91	0.0852	0.0435	2	1.95	1.95	0	0.0852	0.0037	0
TCGA.CS.5395.01A	0.82	0.321	0.101	2	2.03	2.02	0.191	0.13	0.0324	0
TCGA.CS.5396.01A	0.9	0.163	0.28	2	1.96	1.96	0.0714	0.0913	0.0456	0
TCGA.CS.5397.01A	0.61	0.361	0.0663	2	1.84	1.91	0.0773	0.284	0.0239	0
TCGA.CS.6186.01A	0.91	0.223	0.497	4	4.01	4.01	0.0948	0.128	0	0
TCGA.CS.6188.01A	0.67	0.207	0.0174	2	1.93	1.95	0.0378	0.169	0.0036	0
TCGA.CS.6290.01A	0.65	0.115	0.0571	2	2	2	0.0393	0.0753	0	0.00655
TCGA.CS.6665.01A	0.72	0.302	0.0588	2	1.91	1.94	0.0996	0.203	0.00712	0.00712
TCGA.CS.6666.01A	0.86	0.129	0.134	2	2.08	2.07	0.0711	0.0579	0	0.00102
TCGA.CS.6667.01A	0.97	0.0394	0	2	2.01	2.01	0.0191	0.0203	0	0
TCGA.CS.6668.01A	0.97	0.0956	0.446	4	4.04	4.04	0.0517	0.0439	0	0.00388
TCGA.CS.6669.01A	0.72	0.168	0	2	2	2	0.0838	0.0838	0	0
TCGA.CS.6670.01A	0.77	0.346	0.00455	2	1.96	1.97	0.176	0.17	0.00157	0
TCGA.DB.5270.01A	0.84	0.044	0	2	2	2	0.0115	0.0325	0	0
TCGA.DB.5273.01A	0.71	0.0884	0.0889	2	2.01	2.01	0.0472	0.0413	0.00196	0.00393
TCGA.DB.5274.01A	0.86	0.056	0.452	2	1.95	1.96	0.00181	0.0542	0.0253	0
TCGA.DB.5276.01A	0.33	0.00174	0	2	2	2	0.00174	0	0	0
TCGA.DB.5277.01A	0.87	0.41	0.243	2	1.83	1.85	0.101	0.308	0.0663	0
TCGA.DB.5278.01A	0.78	0.0588	0.267	2	1.94	1.96	0	0.0588	0.0157	0
TCGA.DB.5279.01A	0.94	0.281	0.324	4	3.71	3.73	0.0136	0.267	0	0
TCGA.DB.5280.01A	0.86	0.169	0.0426	2	1.97	1.97	0.0755	0.0935	0.00719	0
TCGA.DB.5281.01A	0.89	0.0835	0.17	2	1.98	1.98	0.0178	0.0657	0.0142	0
TCGA.DB.A4X9.01A	0.76	0.629	0.0114	4	4.18	4.14	0.329	0.3	0	0
TCGA.DB.A4XA.01A	0.69	0.449	0.0233	2	1.94	1.96	0.226	0.224	0.0105	0
TCGA.DB.A4XB.01A	0.81	0.393	0.0154	2	1.99	1.99	0.186	0.207	0	0
TCGA.DB.A4XC.01A	0.58	0.58	0.0288	2	2	2	0.275	0.305	0.00743	0
TCGA.DB.A4XD.01A	0.86	0.258	0.0114	2	2	2	0.0499	0.209	0	0.00294
TCGA.DB.A4XE.01A	0.32	0.64	0.167	2	2.51	2.16	0.566	0.0736	0.00775	0
TCGA.DB.A4XF.01A	0.84	0.291	0.0294	2	1.96	1.97	0.135	0.156	0.00855	0
TCGA.DB.A4XG.01A	0.94	0.426	0.0638	4	3.87	3.88	0.171	0.256	0	0
TCGA.DB.A4XH.01A	0.81	0.443	0.0386	2	1.97	1.97	0.251	0.192	0.0171	0
TCGA.DB.A64L.01A	0.74	0.372	0.0547	2	1.92	1.94	0.124	0.248	0.0203	0
TCGA.DB.A64O.01A	0.49	0.259	0.354	2	1.85	1.93	0.0659	0.194	0.0659	0
TCGA.DB.A64P.01A	0.89	0.0893	0.176	2	1.96	1.96	0.0298	0.0595	0.0158	0
TCGA.DB.A64Q.01A	0.9	0.13	0.111	2	1.97	1.98	0.0633	0.0669	0.0145	0
TCGA.DB.A64R.01A	0.92	0.508	0.0456	2	1.94	1.95	0.23	0.278	0.0232	0
TCGA.DB.A64S.01A	0.13	0.0673	0.889	2	2	2	0.0299	0.0374	0.0355	0.00935
TCGA.DB.A64U.01A	0.75	0.116	0.0154	2	1.94	1.95	0.00713	0.109	0.00178	0
TCGA.DB.A64V.01A	0.58	0.0585	0	2	1.95	1.97	0	0.0585	0	0
TCGA.DB.A64W.01A	0.88	0.17	0.154	2	1.9	1.91	0.0224	0.147	0.00187	0.0243
TCGA.DB.A64X.01A	0.89	0.333	0.0568	2	1.99	1.99	0.163	0.17	0	0.00379
TCGA.DB.A75K.01A	0.85	0.101	0.0741	2	1.94	1.95	0.00562	0.0955	0.00749	0
TCGA.DB.A75M.01A	0.77	0.249	0.0119	2	2	2	0.0607	0.188	0	0.00296
TCGA.DB.A75O.01A	0.81	0.237	0	2	1.95	1.96	0.0846	0.153	0	0
TCGA.DB.A75P.01A	0.18	0.132	0.387	2	1.98	2	0.0822	0.0493	0.0345	0.00658
TCGA.DH.5140.01A	0.86	0.331	0.0618	4	3.91	3.92	0.19	0.142	0	0
TCGA.DH.5141.01A	0.82	0.0484	0.429	2	1.95	1.96	0	0.0484	0.0207	0
TCGA.DH.5142.01A	0.82	0.28	0.0263	2	1.94	1.95	0.144	0.136	0.00737	0
TCGA.DH.5143.01A	0.27	0.115	0.175	2	2	2	0.0343	0.0808	0.00808	0.0101
TCGA.DH.5144.01A	0.94	0.0716	0.237	2	1.95	1.95	0.00188	0.0697	0.0169	0
TCGA.DH.A669.01A	0.94	0.268	0.0251	2	1.86	1.87	0.00538	0.262	0.00673	0
TCGA.DH.A669.02A	0.92	0.356	0.034	2	1.79	1.81	0.0444	0.312	0.0108	0.00134
TCGA.DH.A66B.01A	0.84	0.431	0.318	4	3.76	3.8	0.109	0.322	0	0
TCGA.DH.A66D.01A	0.85	0.126	0.132	4	3.88	3.9	0.00742	0.119	0	0
TCGA.DH.A66F.01A	0.91	0.223	0.123	2	1.95	1.95	0.0781	0.145	0.0273	0
TCGA.DH.A66G.01A	0.74	0.228	0	2	1.99	1.99	0.136	0.0923	0	0
TCGA.DH.A7UR.01A	0.73	0.305	0.0667	2	1.93	1.95	0.132	0.173	0.0203	0
TCGA.DH.A7US.01A	0.77	0.0735	0.273	2	1.95	1.96	0.0134	0.0601	0.02	0
TCGA.DH.A7UT.01A	0.7	0.102	0.069	2	1.98	1.98	0.0265	0.0758	0.00529	0.00176
TCGA.DH.A7UU.01A	0.81	0.536	0.0828	2	1.93	1.95	0.198	0.338	0.00341	0.0222
TCGA.DH.A7UV.01A	0.72	0.377	0.0167	2	2	2	0.162	0.215	0	0.00628
TCGA.DU.5847.01A	0.73	0.322	0.13	2	1.75	1.82	0.0209	0.301	0.0314	0.0105
TCGA.DU.5849.01A	0.73	0.108	0.122	2	1.97	1.98	0.0234	0.0847	0.00146	0.00292
TCGA.DU.5851.01A	0.22	0.401	0.179	2	1.98	1.99	0.243	0.157	0.0376	0
TCGA.DU.5852.01A	0.79	0.339	0.189	2	1.87	1.9	0.0743	0.265	0.0643	0
TCGA.DU.5853.01A	0.78	0.128	0.0145	2	1.99	1.99	0.0685	0.0593	0	0.00185
TCGA.DU.5854.01A	0.23	0.205	0.135	2	1.88	1.97	0.0518	0.153	0.0037	0
TCGA.DU.5855.01A	0.54	0.515	0.0317	2	1.91	1.95	0.152	0.363	0.0109	0
TCGA.DU.5870.01A	0.79	0.164	0.137	2	1.95	1.96	0.0692	0.0952	0.0225	0
TCGA.DU.5870.02A	0.93	0.256	0.122	2	1.93	1.93	0.0709	0.185	0.0311	0
TCGA.DU.5871.01A	0.69	0.234	0.0308	2	2.01	2	0.0696	0.164	0	0
TCGA.DU.5872.01A	0.83	0.312	0.0464	2	1.94	1.95	0.147	0.166	0.0145	0
