sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.2Y.A9GS.01A	0.69	0.434	0.0508	2	1.76	1.83	0.0966	0.337	0.022	0
TCGA.2Y.A9GT.01A	0.63	0.319	0.00459	2	1.99	2	0.174	0.145	0	0
TCGA.2Y.A9GV.01A	0.64	0.272	0.0563	2	1.95	1.97	0.113	0.159	0.00956	0
TCGA.2Y.A9GW.01A	0.54	0.226	0.258	2	2.26	2.14	0.133	0.0929	0	0.00139
TCGA.2Y.A9GX.01A	0.17	0.327	0.331	2	1.94	1.99	0.148	0.179	0.056	0.0162
TCGA.2Y.A9GY.01A	0.71	0.482	0.368	4	3.63	3.74	0.131	0.351	0	0
TCGA.2Y.A9GZ.01A	0.93	0.213	0.198	4	3.9	3.91	0.0335	0.18	0	0
TCGA.2Y.A9H3.01A	0.51	0.268	0.521	4	3.99	3.99	0.0656	0.203	0	0
TCGA.2Y.A9H4.01A	0.87	0.185	0.136	2	1.92	1.93	0.0628	0.122	0.0251	0
TCGA.2Y.A9H5.01A	0.81	0.411	0.387	4	3.88	3.9	0.141	0.27	0	0
TCGA.2Y.A9H7.01A	0.87	0.171	0.206	2	1.92	1.93	0.0546	0.116	0.0352	0
TCGA.2Y.A9H8.01A	0.76	0.587	0.065	2	1.91	1.93	0.159	0.428	0.00498	0.00166
TCGA.2Y.A9H9.01A	0.94	0.195	0.183	2	2.01	2.01	0.0921	0.103	0.0188	0
TCGA.2Y.A9HA.01A	0.8	0.239	0.229	2	1.93	1.95	0.0674	0.171	0.051	0
TCGA.3K.AAZ8.01A	0.3	0.53	0.0797	2	2.06	2.02	0.218	0.312	0.00352	0
TCGA.4R.AA8I.01A	0.8	0.476	0.0271	2	1.9	1.92	0.207	0.269	0.0129	0
TCGA.5C.A9VG.01A	0.18	0.574	0.325	2	1.97	1.99	0.246	0.327	0.0843	0.034
TCGA.5C.A9VH.01A	0.83	0.267	0.434	2	2.04	2.04	0.0956	0.171	0.0386	0
TCGA.5C.AAPD.01A	0.55	0.425	0.327	2	1.68	1.82	0.0552	0.37	0.119	0.0143
TCGA.5R.AA1C.01A	0.91	0.503	0.439	4	4.5	4.46	0.393	0.109	0	0
TCGA.5R.AA1D.01A	0.15	0.132	0.64	2	1.96	1.99	0.0368	0.0949	0.049	0.0214
TCGA.5R.AAAM.01A	0.54	0.27	0.0511	2	1.97	1.98	0.13	0.14	0.0118	0
TCGA.BC.4072.01B	0.56	0.558	0.025	2	2.03	2.02	0.159	0.4	0.00175	0.00175
TCGA.BC.4073.01B	0.5	0.166	0.0225	2	1.93	1.97	0.0596	0.106	0.00186	0
TCGA.BC.A10Q.01A	0.88	0.629	0.263	4	3.97	3.98	0.317	0.311	0	0
TCGA.BC.A10R.01A	0.63	0.863	0.499	2	2.78	2.49	0.667	0.196	0.00794	0.0893
TCGA.BC.A10S.01A	0.74	0.203	0.17	4	4.08	4.06	0.067	0.136	0	0
TCGA.BC.A10T.01A	0.77	0.333	0.0205	2	1.9	1.93	0.0778	0.255	0	0.00682
TCGA.BC.A10U.01A	0.92	0.326	0.567	4	4.11	4.1	0.18	0.146	0	0
