sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.18.3406.01A	0.47	0.525	0.602	4	3.6	3.81	0.118	0.406	0	0
TCGA.18.3407.01A	0.42	0.474	0.837	4	3.68	3.87	0.0939	0.38	0.00418	0.00209
TCGA.18.3408.01A	0.75	0.358	0.0833	2	1.93	1.95	0.0989	0.259	0	0.0056
TCGA.18.3409.01A	0.71	0.249	0.207	4	3.81	3.87	0.0125	0.237	0	0
TCGA.18.3410.01A	0.77	0.562	0.41	4	3.62	3.71	0.0864	0.476	0	0
TCGA.18.3411.01A	0.77	0.587	0.364	4	3.52	3.63	0.106	0.481	0	0
TCGA.18.3412.01A	0.82	0.717	0.188	4	3.86	3.88	0.266	0.45	0	0
TCGA.18.3414.01A	0.78	0.365	0.217	2	1.95	1.96	0.0933	0.272	0.0198	0.0317
TCGA.18.3415.01A	0.64	0.25	0.494	2	2.16	2.1	0.205	0.045	0	0.0711
TCGA.18.3416.01A	0.66	0.716	0.725	4	3.2	3.47	0.0927	0.624	0	0
TCGA.18.3417.01A	0.36	0.73	0.267	2	2.52	2.19	0.44	0.291	0	0.0402
TCGA.18.3419.01A	0.56	0.286	0.435	2	1.87	1.93	0.0651	0.221	0.0595	0.026
TCGA.18.3421.01A	0.61	0.777	0.517	4	3.62	3.77	0.204	0.573	0	0
TCGA.18.4721.01A	0.19	0.149	0.356	2	2.01	2	0.0281	0.12	0.0314	0.00825
TCGA.18.5592.01A	0.75	0.685	0.184	2	1.76	1.82	0.224	0.461	0.0929	0
TCGA.18.5595.01A	0.9	0.159	0.208	2	2.04	2.03	0.0711	0.0876	0.0132	0
TCGA.21.1070.01A	0.35	0.343	0.15	2	2.31	2.11	0.278	0.0649	0.00166	0.00832
TCGA.21.1071.01A	0.45	0.74	0.514	4	4.43	4.19	0.492	0.247	0	0
TCGA.21.1072.01A	0.77	0.695	0.0368	2	1.83	1.87	0.241	0.453	0.00548	0
TCGA.21.1075.01A	0.83	0.611	0.516	4	3.59	3.66	0.126	0.485	0	0
TCGA.21.1076.01A	0.21	0.421	0.288	2	2.28	2.06	0.26	0.16	0.0294	0.0157
TCGA.21.1077.01A	0.29	0.415	0.278	2	2.46	2.13	0.296	0.119	0.00516	0
TCGA.21.1078.01A	0.93	0.358	0.0101	2	1.99	1.99	0.151	0.207	0.0018	0.0018
TCGA.21.1079.01A	0.74	0.534	0.127	2	1.92	1.94	0.131	0.403	0.0126	0.0236
TCGA.21.1080.01A	0.73	0.626	0.12	2	1.8	1.85	0.161	0.465	0.0612	0.0035
TCGA.21.1081.01A	0.53	0.62	0.262	2	2.26	2.14	0.291	0.33	0	0.0484
TCGA.21.1082.01A	0.65	0.564	0.167	2	1.68	1.79	0.102	0.463	0.0544	0.0254
TCGA.21.1083.01A	0.71	0.494	0.112	2	1.65	1.75	0.0618	0.433	0.0455	0.00325
TCGA.21.5782.01A	0.45	0.503	0.386	2	1.95	1.98	0.188	0.315	0.09	0.0409
TCGA.21.5783.01A	0.7	0.603	0.119	2	1.96	1.97	0.134	0.469	0.00163	0.0114
TCGA.21.5784.01A	0.18	0.383	0.507	2	2.02	2	0.0776	0.305	0.0333	0.118
TCGA.21.5786.01A	0.69	0.732	0.176	4	3.3	3.52	0.0848	0.647	0	0
TCGA.21.5787.01A	0.57	0.283	0.341	2	2.22	2.13	0.23	0.0531	0	0.00544
TCGA.21.A5DI.01A	0.32	0.476	0.317	2	2.46	2.15	0.416	0.06	0.00387	0.0058
