sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.AF.2687.01A	0.26	0.146	0.265	2	2.08	2.02	0.0583	0.0882	0.00897	0
TCGA.AF.2689.01A	0.85	0.266	0.295	2	1.91	1.92	0.0506	0.215	0.0532	0.0203
TCGA.AF.2690.01A	0.2	0.356	0.416	2	2.55	2.11	0.272	0.0846	0.0228	0.0114
TCGA.AF.2691.01A	0.41	0.552	0.159	2	2.19	2.08	0.339	0.213	0	0
TCGA.AF.2692.01A	0.84	0.377	0.276	2	2.12	2.1	0.259	0.119	0	0.0699
TCGA.AF.2693.01A	0.59	0.353	0.124	2	1.84	1.9	0.0992	0.254	0.0337	0.00595
TCGA.AF.3400.01A	0.17	0.173	0.412	2	1.99	2	0.0747	0.0979	0.032	0.0142
TCGA.AF.3911.01A	0.86	0.548	0.142	2	1.98	1.98	0.162	0.386	0.0207	0.00517
TCGA.AF.3913.01A	0.69	0.734	0.352	2	2.33	2.23	0.429	0.305	0.0138	0.0966
TCGA.AF.4110.01A	0.57	0.558	0.372	4	4.02	4.01	0.202	0.357	0	0
TCGA.AF.5654.01A	0.84	0.45	0.0158	2	2.02	2.02	0.104	0.346	0	0.00711
TCGA.AF.6136.01A	0.72	0.682	0.385	6	5.38	5.56	0.195	0.488	0	0
TCGA.AF.6655.01A	0.67	0.345	0.246	2	2.02	2.01	0.13	0.215	0	0.0243
TCGA.AF.6672.01A	0.79	0.371	0.161	4	3.72	3.78	0.0904	0.28	0	0
TCGA.AF.A56K.01A	0.69	0.446	0.33	4	4.16	4.11	0.193	0.253	0	0
TCGA.AF.A56L.01A	0.64	0.486	0.509	4	3.94	3.96	0.168	0.318	0	0
TCGA.AF.A56N.01A	0.8	0.322	0.0777	2	1.92	1.93	0.0733	0.248	0.0167	0
TCGA.AG.3574.01A	0.86	0.396	0.0365	2	2.15	2.13	0.254	0.142	0.00206	0
TCGA.AG.3575.01A	0.77	0.275	0.305	2	1.9	1.93	0.0571	0.218	0.0589	0.025
TCGA.AG.3578.01A	0.87	0.591	0.342	4	3.65	3.69	0.212	0.379	0	0
TCGA.AG.3580.01A	0.52	0.66	0.0298	2	2.02	2.01	0.358	0.303	0	0
TCGA.AG.3581.01A	0.66	0.206	0.252	2	1.89	1.92	0.0305	0.176	0.0287	0.0108
TCGA.AG.3582.01A	0.83	0.722	0.345	4	3.72	3.77	0.136	0.586	0	0
TCGA.AG.3583.01A	0.83	0.221	0.12	2	1.94	1.95	0.0514	0.17	0.014	0.0125
TCGA.AG.3584.01A	0.75	0.611	0.229	2	1.9	1.92	0.221	0.391	0.0631	0.0552
TCGA.AG.3586.01A	0.71	0.356	0.0231	2	2.08	2.05	0.204	0.152	0.00206	0
TCGA.AG.3587.01A	0.86	0.901	0.32	4	3.67	3.72	0.301	0.6	0	0
TCGA.AG.3591.01A	0.92	0.604	0.0939	4	3.58	3.61	0.129	0.475	0	0
TCGA.AG.3592.01A	0.82	0.699	0.273	4	3.89	3.91	0.212	0.487	0	0
TCGA.AG.3593.01A	0.89	0.742	0.224	4	3.55	3.6	0.178	0.564	0	0
TCGA.AG.3594.01A	0.62	0.435	0.448	2	1.98	1.99	0.169	0.266	0.063	0.0965
TCGA.AG.3598.01A	0.81	0.323	0.503	2	2.07	2.05	0.198	0.124	0.024	0.016
TCGA.AG.3599.01A	0.85	0.297	0.129	2	2.01	2.01	0.152	0.145	0.00606	0.00808
TCGA.AG.3600.01A	0.79	0.831	0.324	2	2.47	2.37	0.509	0.323	0.00855	0.0983
TCGA.AG.3602.01A	0.66	0.379	0.415	2	1.83	1.89	0.0776	0.301	0.0536	0.0721
TCGA.AG.3608.01A	0.75	0.387	0.346	2	2.07	2.05	0.196	0.19	0.0283	0.0344
TCGA.AG.3609.01A	0.7	0.91	0.396	2	2.59	2.41	0.469	0.441	0	0.133
TCGA.AG.3612.01A	0.76	0.658	0.285	2	2.17	2.13	0.277	0.381	0.0268	0.068
TCGA.AG.3725.01A	0.81	0.877	0.365	2	2.88	2.71	0.787	0.0895	0	0.155
TCGA.AG.3726.01A	0.79	0.16	0.253	2	1.94	1.96	0.0372	0.123	0.0275	0
TCGA.AG.3727.01A	0.87	0.269	0.0265	2	1.9	1.92	0.0783	0.19	0.00712	0
TCGA.AG.3728.01A	0.61	0.616	0.221	2	2.12	2.07	0.368	0.248	0.00181	0.0743
TCGA.AG.3731.01A	0.44	0.492	0.489	4	4.2	4.09	0.238	0.253	0	0
TCGA.AG.3732.01A	0.66	0.443	0.062	2	1.77	1.85	0.104	0.339	0.0183	0
TCGA.AG.3742.01A	0.89	0.344	0.473	4	3.97	3.97	0.148	0.196	0	0
TCGA.AG.3878.01A	0.43	0.553	0.00727	2	2.05	2.02	0.262	0.292	0	0
TCGA.AG.3881.01A	0.66	0.717	0.142	2	2.29	2.19	0.438	0.279	0.0199	0.0239
TCGA.AG.3882.01A	0.7	0.772	0.503	4	3.59	3.71	0.0653	0.707	0	0
TCGA.AG.3883.01A	0.63	0.49	0.452	4	3.84	3.9	0.165	0.325	0	0
TCGA.AG.3885.01A	0.89	0.875	0.15	4	3.11	3.21	0.107	0.767	0	0
TCGA.AG.3887.01A	0.9	0.223	0.51	4	3.98	3.99	0.0937	0.129	0	0
TCGA.AG.3890.01A	0.62	0.416	0.13	2	1.9	1.94	0.11	0.306	0.00721	0.027
TCGA.AG.3892.01A	0.11	0.11	0.726	2	1.99	2	0.0443	0.0656	0.0408	0.0124
TCGA.AG.3893.01A	0.82	0.276	0.255	2	1.99	1.99	0.083	0.193	0.00128	0.0102
TCGA.AG.3894.01A	0.18	0.0855	0.8	2	2.25	2.05	0.0718	0.0137	0.00513	0.00342
TCGA.AG.3896.01A	0.64	0.602	0.102	2	2.13	2.08	0.335	0.267	0.0131	0.0206
