sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.3M.AB46.01A	0.72	0.624	0.338	2	1.64	1.74	0.116	0.508	0.179	0.0322
TCGA.3M.AB47.01A	0.39	0.185	0.336	2	2.08	2.03	0.0971	0.0884	0	0.00867
TCGA.B7.5816.01A	0.75	0.0666	0.5	2	2.05	2.03	0.0413	0.0253	0	0.00133
TCGA.B7.5818.01A	0.76	0.306	0.318	2	2.07	2.06	0.132	0.174	0.0104	0.059
TCGA.B7.A5TI.01A	0.63	0.292	0.0488	2	1.84	1.9	0.0328	0.26	0.00428	0.00999
TCGA.B7.A5TJ.01A	0.77	0.451	0.349	2	2.16	2.13	0.243	0.209	0	0.126
TCGA.B7.A5TK.01A	0.48	0.26	0	2	2	2	0.074	0.186	0	0
TCGA.B7.A5TN.01A	0.62	0.549	0.0654	2	1.81	1.88	0.124	0.425	0.00718	0.0144
TCGA.BR.4183.01A	0.36	0.555	0.433	4	4.19	4.07	0.274	0.281	0	0.00185
TCGA.BR.4186.01A	0.42	0.406	0.525	4	3.98	3.99	0.133	0.273	0	0
TCGA.BR.4187.01A	0.99	0.207	0	2	2	2	0.0525	0.154	0	0
TCGA.BR.4188.01A	0.34	0.114	0.869	2	2.01	2	0.0542	0.0598	0.00561	0.0804
TCGA.BR.4190.01A	0.14	0.182	0.454	2	1.94	1.99	0.0387	0.143	0.0471	0.0202
TCGA.BR.4191.01A	0.51	0.564	0.559	2	2.02	2.01	0.264	0.3	0.124	0.0765
TCGA.BR.4195.01A	0.45	0.759	0.7	4	3.73	3.88	0.199	0.559	0.00201	0
TCGA.BR.4196.01A	0.42	0.311	0.208	2	2.18	2.07	0.231	0.0804	0	0.00524
TCGA.BR.4197.01A	0.61	0.798	0.17	2	1.98	1.99	0.278	0.52	0	0.103
TCGA.BR.4199.01A	0.72	0.0396	0.0357	2	2	2	0.00849	0.0311	0	0
TCGA.BR.4200.01A	0.5	0.402	0.174	2	2.11	2.06	0.226	0.176	0	0
TCGA.BR.4201.01A	0.35	0.269	0.664	2	2.01	2	0.0678	0.202	0	0.158
TCGA.BR.4205.01A	0.71	0.466	0.0614	2	2.05	2.03	0.135	0.332	0	0.0152
TCGA.BR.4253.01A	0.4	0.331	0.178	2	2	2	0.146	0.185	0.00203	0.0426
TCGA.BR.4255.01A	0.24	0.473	0.317	2	2.17	2.04	0.323	0.15	0.0247	0.0475
TCGA.BR.4256.01A	0.16	0.385	0.363	2	1.88	1.98	0.147	0.238	0.066	0.00566
TCGA.BR.4257.01A	0.62	0.367	0.249	2	2.16	2.1	0.234	0.133	0	0.0658
TCGA.BR.4259.01A	0.74	0.819	0.648	4	2.85	3.15	0.0493	0.769	0	0
TCGA.BR.4260.01A	0.51	0.509	0.229	2	2.1	2.05	0.178	0.331	0.00185	0.0352
TCGA.BR.4261.01A	0.69	0.151	0.0404	2	1.99	2	0.0457	0.105	0	0.00609
TCGA.BR.4263.01A	0.14	0.511	0.668	2	2.23	2.03	0.246	0.265	0.146	0.0429
TCGA.BR.4264.01A	0.37	0.725	0.322	2	2.13	2.05	0.369	0.357	0.0143	0.127
TCGA.BR.4265.01A	0.74	0.507	0.216	2	2.04	2.03	0.244	0.264	0.00995	0.068
TCGA.BR.4266.01A	0.51	0.668	0.26	2	2.17	2.08	0.27	0.398	0.0151	0.0792
TCGA.BR.4267.01A	0.71	0.474	0.0744	2	1.94	1.96	0.204	0.27	0.00587	0.0235
TCGA.BR.4270.01A	0.19	0.0954	0.365	2	2	2	0.0367	0.0587	0.0183	0.0055
TCGA.BR.4271.01A	0.16	0.323	0.469	2	1.97	1.99	0.142	0.181	0.048	0.0277
TCGA.BR.4272.01A	0.44	0.443	0.256	2	2.17	2.07	0.319	0.123	0	0.0625
TCGA.BR.4273.01A	0.6	0.629	0.208	2	2.12	2.07	0.26	0.369	0.0085	0.0629
TCGA.BR.4274.01A	0.39	0.581	0.25	2	2.34	2.13	0.301	0.28	0	0.0269
TCGA.BR.4276.01A	0.9	0.917	0.182	2	2.69	2.62	0.537	0.381	0.0244	0.06
