sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.4C.A93U.01A	0.8	0.161	0.173	2	2.01	2.01	0.051	0.11	0.00164	0
TCGA.BJ.A0YZ.01A	0.26	0.0187	0.154	2	1.99	2	0.00288	0.0158	0.00288	0
TCGA.BJ.A0Z0.01A	0.97	0.113	0.194	2	1.97	1.97	0.0366	0.0768	0.0219	0
TCGA.BJ.A0Z2.01A	0.74	0.518	0	2	1.99	2	0.281	0.236	0	0
TCGA.BJ.A0Z3.01A	0.7	0.0414	0	2	2	2	0	0.0414	0	0
TCGA.BJ.A0Z5.01A	0.47	0.159	0.197	2	1.99	2	0.0614	0.0977	0	0.0313
TCGA.BJ.A0ZA.01A	0.12	0.193	0.672	2	1.98	2	0.0372	0.155	0.0599	0.0291
TCGA.BJ.A0ZB.01A	0.99	0.226	0	2	2	2	0.0872	0.138	0	0
TCGA.BJ.A0ZC.01A	0.66	0.176	0	2	1.98	1.98	0.0459	0.13	0	0
TCGA.BJ.A0ZE.01A	0.07	0.573	0.589	2	1.67	1.98	0.0804	0.492	0.255	0.0765
TCGA.BJ.A0ZG.01A	0.7	0.168	0	2	1.99	1.99	0.0404	0.128	0	0
TCGA.BJ.A0ZH.01A	0.96	0.311	0	2	1.99	1.99	0.128	0.183	0	0
TCGA.BJ.A0ZJ.01A	0.16	0.0363	0.333	2	2.01	2	0.0363	0	0.00605	0.00202
TCGA.BJ.A18Y.01A	0.13	0.195	0.607	2	1.92	1.99	0.0889	0.106	0.0575	0.0366
TCGA.BJ.A18Z.01A	0.52	0.169	0.00847	2	1.99	2	0.0557	0.113	0	0.00143
TCGA.BJ.A190.01A	0.92	0.526	0.326	2	1.69	1.72	0.00664	0.519	0.166	0.00531
TCGA.BJ.A191.01A	0.62	0.487	0	2	2	2	0.226	0.261	0	0
TCGA.BJ.A192.01A	0.84	0.248	0.0236	2	2.04	2.03	0.133	0.115	0.00586	0
TCGA.BJ.A28R.01A	0.82	0.208	0	2	2	2	0.104	0.104	0	0
TCGA.BJ.A28S.01A	0.54	0.0166	0	2	2	2	0.00755	0.00906	0	0
TCGA.BJ.A28T.01A	0.7	0.335	0	2	2	2	0.167	0.169	0	0
TCGA.BJ.A28V.01A	0.11	0.143	0.893	2	2	2	0.0767	0.0664	0.0784	0.0256
TCGA.BJ.A28W.01A	0.62	0.418	0	2	2	2	0.189	0.228	0	0
TCGA.BJ.A28X.01A	0.19	0.0276	0.0667	2	1.99	2	0	0.0276	0	0.00184
TCGA.BJ.A28Z.01A	0.46	0.121	0.0152	2	2	2	0.0716	0.0495	0.00183	0
TCGA.BJ.A290.01A	0.48	0.0883	0.61	2	2.13	2.06	0.0853	0.00299	0	0
TCGA.BJ.A291.01A	0.6	0.477	0	2	2	2	0.217	0.26	0	0
TCGA.BJ.A2N7.01A	0.76	0.165	0	2	2	2	0.0717	0.093	0	0
TCGA.BJ.A2N8.01A	0.9	0.0806	0	2	2	2	0.0368	0.0438	0	0
TCGA.BJ.A2N9.01A	0.86	0.475	0.266	2	2.23	2.2	0.277	0.198	0.00377	0.0659
